File Name,Precision,Recall,F1 Score,PG(F1 Score)
clean.csv,0.96,0.96,0.96,0.0
dirty-5.csv,0.8776470588235292,0.84,0.7866666666666667,0.18055555555555544
dirty-10.csv,0.9025,0.86,0.8316614420062696,0.13368599791013583
dirty-15.csv,0.9281904761904761,0.82,0.8272249972249972,0.13830729455729454
dirty-20.csv,0.9814285714285714,0.76,0.8454785954785955,0.11929312970979633
dirty-25.csv,0.9438636363636363,0.68,0.7554545454545455,0.21306818181818174
dirty-30.csv,0.948,0.72,0.8030409937888199,0.1634989648033126
dirty-35.csv,0.9185858585858585,0.6,0.6844948384948385,0.2869845432345432
dirty-40.csv,0.7995,0.5,0.6032825145868624,0.37158071397201825
dirty-45.csv,0.91,0.54,0.6662368767769226,0.30600325335737233
dirty-50.csv,0.9483333333333333,0.64,0.7470539682539682,0.2218187830687831
dirty-55.csv,0.91,0.32,0.4642208101496027,0.5164366560941638
dirty-60.csv,0.768,0.22,0.3265555555555556,0.6598379629629629
dirty-65.csv,0.55,0.12,0.1925751633986928,0.7994008714596951
dirty-70.csv,0.16,0.02,0.035555555555555556,0.9629629629629629
dirty-75.csv,0.52,0.04,0.07428571428571427,0.9226190476190476
dirty-80.csv,0.0,0.0,0.0,1.0
dirty-85.csv,0.0,0.0,0.0,1.0
dirty-90.csv,0.0,0.0,0.0,1.0
dirty-95.csv,0.0,0.0,0.0,1.0
dirty-mode-5.csv,0.9165833333333333,0.9,0.8956748768472907,0.06700533661740544
dirty-mode-10.csv,0.8188235294117646,0.72,0.7346410256410256,0.23474893162393162
dirty-mode-15.csv,0.8913247863247862,0.86,0.8656150519557169,0.0983176542127949
dirty-mode-20.csv,0.9179365079365078,0.92,0.9159586056644881,0.045876452432824906
dirty-mode-25.csv,0.9009999999999999,0.78,0.7886619369740967,0.17847714898531591
dirty-mode-30.csv,0.8461111111111111,0.74,0.747848951048951,0.220990675990676
dirty-mode-35.csv,0.8225555555555556,0.76,0.7692709447415329,0.19867609922756987
dirty-mode-40.csv,0.8398412698412698,0.72,0.7405861471861472,0.2285560966810966
dirty-mode-45.csv,0.8694444444444445,0.76,0.7743067367415193,0.19343048256091738
dirty-mode-50.csv,0.9026086956521739,0.68,0.7213451018851476,0.24859885220297126
dirty-mode-55.csv,0.7479569892473118,0.5,0.5101598985809512,0.4685834389781758
dirty-mode-60.csv,0.5497674418604651,0.3,0.2700490196078431,0.7186989379084967
dirty-mode-65.csv,0.41909090909090907,0.26,0.20625037707390648,0.7851558572146807
dirty-mode-70.csv,0.0256,0.16,0.044137931034482755,0.9540229885057472
dirty-mode-75.csv,0.6317777777777778,0.22,0.1768957708957709,0.815733571983572
dirty-mode-80.csv,0.0256,0.16,0.044137931034482755,0.9540229885057472
dirty-mode-85.csv,0.019600000000000003,0.14,0.0343859649122807,0.9641812865497076
dirty-mode-90.csv,0.0676,0.26,0.10730158730158729,0.8882275132275133
dirty-mode-95.csv,0.0676,0.26,0.10730158730158729,0.8882275132275133
dirty-knn-5.csv,0.9403571428571428,0.94,0.9393464052287581,0.02151416122004359
dirty-knn-10.csv,0.95125,0.94,0.9371034482758621,0.023850574712643593
dirty-knn-15.csv,0.9403571428571428,0.94,0.9393464052287581,0.02151416122004359
dirty-knn-20.csv,0.9653333333333333,0.96,0.9589285714285714,0.001116071428571471
