File Name,Precision,Recall,F1 Score,PG(F1 Score)
clean.csv,0.906826923076923,0.9,0.9003129032258065,0.0
random-0.1-1.csv,0.5866607695709862,0.5,0.48994776534095424,0.45580279524432077
random-0.1-2.csv,0.5990584415584416,0.62,0.6051473102061337,0.3278477870994621
random-0.1-3.csv,0.7187391555812609,0.68,0.6733600713012479,0.2520821717776012
random-0.1-4.csv,0.657930402930403,0.66,0.6503857142857143,0.27760036321217557
random-0.1-5.csv,0.7214114832535885,0.7,0.7043712702472295,0.21763725953112673
random-0.2-1.csv,0.8123361344537815,0.8,0.7936032388663967,0.11852508608626042
random-0.2-2.csv,0.8136267942583733,0.8,0.7966530563407666,0.1151375777395041
random-0.2-3.csv,0.74275,0.74,0.7392534150049381,0.1788927912104723
random-0.2-4.csv,0.8109090909090909,0.78,0.7807777777777778,0.13277064564968055
random-0.2-5.csv,0.705319073083779,0.68,0.6820789473684211,0.24239789863663694
random-0.3-1.csv,0.7454285714285714,0.74,0.7366207577459845,0.18181694929986644
random-0.3-2.csv,0.7447399267399267,0.72,0.7191569503468817,0.20121443581431078
random-0.3-3.csv,0.7846153846153847,0.78,0.7808888888888889,0.13264723176689275
random-0.3-4.csv,0.7696363636363637,0.7,0.6959193809193809,0.22702498384071465
random-0.3-5.csv,0.7987330316742082,0.78,0.7826617647058823,0.1306780543724099
random-0.4-1.csv,0.7740109890109891,0.76,0.7577043755433208,0.15839884907960514
random-0.4-2.csv,0.83,0.76,0.7530316742081448,0.16358893501354416
random-0.4-3.csv,0.8194117647058823,0.8,0.7962068965517242,0.11563313854668993
random-0.4-4.csv,0.8707692307692309,0.84,0.8429090909090909,0.06375984628348501
random-0.4-5.csv,0.846,0.84,0.8415204678362572,0.06530222456981002
random-0.5-1.csv,0.8512631578947368,0.82,0.8252576293675363,0.08336576493500018
random-0.5-2.csv,0.7936176470588235,0.78,0.7800116099071208,0.13362164741574634
random-0.5-3.csv,0.8603361344537815,0.84,0.8366483516483517,0.07071380555509725
random-0.5-4.csv,0.8472820512820514,0.82,0.8117171717171717,0.09840548901520538
random-0.5-5.csv,0.85,0.84,0.8382456140350877,0.06893968637829438
random-0.6-1.csv,0.8358461538461539,0.82,0.8190183792815371,0.0902958556441793
random-0.6-2.csv,0.8577306903622692,0.84,0.8419963057686843,0.06477369950844282
random-0.6-3.csv,0.8779831932773109,0.86,0.8602386877828054,0.04451143074748322
random-0.6-4.csv,0.8914117647058823,0.88,0.8799906015037594,0.022572487464338896
random-0.6-5.csv,0.7831176470588236,0.78,0.77838059386434,0.13543325762030622
random-0.7-1.csv,0.9091428571428571,0.9,0.8991091954022988,0.0013369883061708698
random-0.7-2.csv,0.8563800904977376,0.84,0.8410000000000001,0.06588032117865826
random-0.7-3.csv,0.7559999999999999,0.74,0.73,0.18917079008373439
random-0.7-4.csv,0.8730303030303032,0.86,0.8616897233201581,0.042899729379932375
random-0.7-5.csv,0.92,0.92,0.92,0.0
random-0.8-1.csv,0.880576923076923,0.88,0.8794352941176471,0.023189281230287
random-0.8-2.csv,0.8295,0.82,0.8209625668449199,0.0881363980195948
random-0.8-3.csv,0.7808636363636364,0.78,0.7789596133721814,0.13479012620925254
random-0.8-4.csv,0.9019318181818181,0.9,0.9003085553997195,4.829238891677043e-06
random-0.8-5.csv,0.9270588235294117,0.92,0.92,0.0
random-0.9-1.csv,0.8597142857142858,0.86,0.8591651542649729,0.04570383120513091
random-0.9-2.csv,0.8804615384615384,0.88,0.8782406015037594,0.024516256118247787
random-0.9-3.csv,0.8766666666666667,0.86,0.8603636363636364,0.04437264724190053
random-0.9-4.csv,0.88,0.88,0.88,0.022562048320118124
random-0.9-5.csv,0.9270588235294117,0.92,0.92,0.0
