File,Mutual_Information_target
dirty-mean-10,4.91344363388642
dirty-mean-30,3.6068785775009102
dirty-mean-50,2.369630284160752
dirty-mean-70,1.2236835012444889
dirty-mean-90,0.25197225344652363
dirty-median-10,4.900439436443557
dirty-median-30,3.611650949939273
dirty-median-50,2.375244080001544
dirty-median-70,1.2197747842047084
dirty-median-90,0.2491998058635474
dirty-knn-10,5.139422343002943
dirty-knn-30,4.169437660061149
dirty-knn-50,3.336251809096826
dirty-knn-70,2.6123215665802584
dirty-knn-90,1.9350991902645416
dirty-hdi-10,5.136800593015023
dirty-hdi-30,4.108646910617008
dirty-hdi-50,3.2535924274399264
dirty-hdi-70,2.515440557103474
dirty-hdi-90,1.9198516234405365
dirty-mice-10,5.109315395255906
dirty-mice-30,4.071177278919519
dirty-mice-50,3.3197717598649095
dirty-mice-70,2.6536398492722553
dirty-mice-90,1.9636468708699173
dirty-iim-10,5.027796791973174
dirty-iim-30,3.8918706647750247
dirty-iim-50,3.0078640674746038
dirty-iim-70,2.140940855874519
dirty-iim-90,1.6851143658636998
dirty-si-10,5.147291435512303
dirty-si-30,4.296852589096158
dirty-si-50,3.5496886416505102
dirty-si-70,2.969407776467112
dirty-si-90,2.5291755909492477
dirty-mfi-10,4.86752232474393
dirty-mfi-30,3.604055404706715
dirty-mfi-50,2.340183997051418
dirty-mfi-70,1.2613233526236427
dirty-mfi-90,0.3167958762868768
dirty-rf-10,5.186950634375851
dirty-rf-30,4.249819002510981
dirty-rf-50,3.506334623447306
dirty-rf-70,2.76887827983221
dirty-rf-90,2.1313241318958354
dirty-xgbi-10,5.148927599464635
dirty-xgbi-30,4.159375830835984
dirty-xgbi-50,3.341417094511948
dirty-xgbi-70,2.6838072349820954
dirty-xgbi-90,2.0999926786242953
dirty-gain-10,4.729136487740295
dirty-gain-30,3.223906678374938
dirty-gain-50,1.9477351047550422
dirty-gain-70,0.9005126517981488
dirty-gain-90,0.13711637704617452
dirty-midae-10,4.922706516094708
dirty-midae-30,3.8266353212363757
dirty-midae-50,2.9917776530487172
dirty-midae-70,2.2159605847785455
dirty-midae-90,1.8624398437681298
