File Name,RMSE,MAE,PG(RMSE),PG(MAE)
clean.csv,162213.80535847505,117531.29333123473,0.0,0.0
dirty-5.csv,215845.81634617105,160805.9822811737,0.3306254413375917,0.3681971645456098
dirty-10.csv,274117.29635275446,210470.07551367904,0.6898518331838942,0.7907577594719211
dirty-15.csv,323313.0459722208,253657.9850279793,0.9931290389109222,1.1582165722715485
dirty-20.csv,359824.5745248904,290331.4793626648,1.218211783699401,1.4702483154374282
dirty-25.csv,415484.8504717903,338917.7767124758,1.561340876959353,1.8836386217355285
dirty-30.csv,439340.11082674307,364474.1600671193,1.7084014819567834,2.101081845836013
dirty-35.csv,509713.18149162474,416926.65573792695,2.142230591072156,2.5473672068162796
dirty-40.csv,577211.7506822755,479806.31996002246,2.5583392511303193,3.082370799815837
dirty-45.csv,582039.100384315,506533.98976979236,2.58809843032824,3.309779765140877
dirty-50.csv,624230.4265880309,548251.5738013318,2.848195443097761,3.664728501338037
dirty-55.csv,731124.3198609294,644385.6317770566,3.507164592096359,4.4826728568450696
dirty-60.csv,720929.1986837601,641262.6373063531,3.4443146937499196,4.456101257212433
dirty-65.csv,767767.6677882178,689923.1090734759,3.7330599642338322,4.870122667067803
dirty-70.csv,842708.7777479915,768420.9799639896,4.195049680794405,5.538011776985837
dirty-75.csv,822060.2008924921,751104.282823183,4.0677573285197735,5.390674870788408
dirty-80.csv,899239.1860498467,839415.1881218647,4.543542881955237,6.142056930796868
dirty-85.csv,937347.5942514999,877339.4396424538,4.778469916170591,6.464730581751328
dirty-90.csv,975803.7504816002,920995.4064027327,5.015540713844786,6.836171799855213
dirty-95.csv,1021183.8486664023,977274.7167922538,5.295295560138645,7.315017125167094
dirty-Mean-5.csv,175481.26397288084,131593.10426682694,0.08178994744057784,0.11964312258491233
dirty-Mean-10.csv,197561.5746996571,149162.35994734432,0.21790851440213296,0.26912889086453556
dirty-Mean-15.csv,224876.88027265624,172900.62500476954,0.3862992719744324,0.4711028876155491
dirty-Mean-20.csv,217935.96775550063,169451.42991166818,0.34351060487044005,0.4417558516446217
dirty-Mean-25.csv,236681.96983694588,187807.05389098747,0.45907414793644846,0.5979323341716047
dirty-Mean-30.csv,266811.63271460705,214080.58447802198,0.6448145835983693,0.8214773139157537
dirty-Mean-35.csv,301230.86729757464,241048.22323336385,0.856998956604753,1.05092802436901
dirty-Mean-40.csv,308709.9334421626,242727.46680879884,0.903105181214058,1.0652156538831552
dirty-Mean-45.csv,318477.2912307312,254849.38747710624,0.9633180451375927,1.1683534678621486
dirty-Mean-50.csv,315928.3381583783,251240.3783625229,0.9476045054254828,1.1376466746984573
dirty-Mean-55.csv,354138.31368304836,279043.7810401404,1.1831576720639825,1.3742083757533423
dirty-Mean-60.csv,354760.41027173726,280500.8630666209,1.1869927130292945,1.386605772099301
dirty-Mean-65.csv,369698.1441849551,294463.1298076923,1.2790794123099574,1.5054019356174035
dirty-Mean-70.csv,383780.94986042916,302243.4883241758,1.365895732563049,1.5716001224658744
dirty-Mean-75.csv,347054.57641767623,270719.43056509463,1.1394885327467843,1.3033817027958217
dirty-Mean-80.csv,378086.71060948516,292904.3069577991,1.3307924364017862,1.4921388904682278
dirty-Mean-85.csv,384090.88541908714,298477.3753720238,1.3678063933602176,1.5395566313631421
dirty-Mean-90.csv,378694.8534633796,293847.1484279609,1.3345414567305462,1.5001609367117301
dirty-Mean-95.csv,413167.9581682083,321517.36519383395,1.547057923061182,1.7355894424450153
dirty-Median-5.csv,188196.92534555233,139758.8520537622,0.16017822854015037,0.1891203448249672
