Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,2704.2964129641296,0.7000044741575657,0.4046860751128399
0.72,2554.739847398474,0.7200073178482618,0.40551693890054114
0.74,2409.022680226802,0.7400053329874232,0.4062809629904334
0.76,2266.3650336503365,0.7600076999392513,0.4069845624104743
0.78,2126.1070110701107,0.780005389220026,0.4076327301145526
0.8,1987.408744087441,0.8000096316900503,0.40823046221690373
0.82,1849.550345503455,0.8200043060019871,0.4087813134019001
0.84,1711.4519845198452,0.8400082245451426,0.4092892559156555
0.86,1572.0938209382093,0.8600038221162507,0.4097567279249096
0.88,1429.9160991609915,0.8800063630719918,0.4101863841137067
0.9,1282.9991199912,0.9000072535687093,0.41057962085719013
0.92,1128.4033440334404,0.9200082569363511,0.4109371237800117
0.94,961.3295232952329,0.9400069239395356,0.41125793323726245
0.96,772.4191241912418,0.9600086714182766,0.4115378786264316
0.98,537.6759067590676,0.9800066001292626,0.4117622220780209
