Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,0.04440368807376148,0.7000050088847105,0.18583602205989957
0.72,0.04197093941878838,0.7200038569107866,0.18583711202717323
0.74,0.03959759195183904,0.7400024504161576,0.18583817508060038
0.76,0.03727194543890878,0.7600030861977708,0.18583921648094057
0.78,0.03498229964599293,0.7800060790689024,0.18584024148280773
0.8,0.032716954339086786,0.8000059122839747,0.18584125533492787
0.82,0.03046240924818497,0.8200022491130267,0.18584226408560778
0.84,0.02820156403128063,0.8400090700605523,0.1858432753868497
0.86,0.025918218364367293,0.860004084532639,0.18584429648009035
0.88,0.023586271725434513,0.8800064521122627,0.1858453390244149
0.9,0.021174223484469692,0.9000060903018771,0.18584641707904925
0.92,0.01863347266945339,0.9200050322558265,0.1858475523260086
0.94,0.01588391767835357,0.9400057147946072,0.18584878048760523
0.96,0.012771655433108663,0.9600054911346961,0.18585017018250646
0.98,0.008897077941558832,0.9800080565670477,0.1858518995567353
