file_name,RMSE,MAE
dirty-mean-10.csv,1321.0552896885165,359.055588154
dirty-mean-30.csv,2675.6116813857934,1322.4883501661666
dirty-mean-50.csv,3828.010238285352,2481.469320282548
dirty-mean-70.csv,4431.124479851129,3245.0056516137183
dirty-mean-90.csv,4643.0210511833075,3447.5030404405334
dirty-median-10.csv,1352.1201428210427,307.33900433819997
dirty-median-30.csv,2741.5557769700476,1168.8196818542
dirty-median-50.csv,4148.317424047713,2282.7870355809
dirty-median-70.csv,5168.202042264522,3230.1157570476003
dirty-median-90.csv,5442.885732710761,3475.7286777352
dirty-knn-10.csv,483.13262351357906,65.52476606944
dirty-knn-30.csv,395.54531265541146,105.60828976133999
dirty-knn-50.csv,555.212362691641,189.83974971936
dirty-knn-70.csv,864.7642818853732,313.53991937536
dirty-knn-90.csv,1175.3292829092272,465.05448234700003
dirty-hdi-10.csv,218.03244253725742,30.592374336200002
dirty-hdi-30.csv,393.9286677728526,118.9171986156
dirty-hdi-50.csv,787.8759574052265,292.9449289133
dirty-hdi-70.csv,1033.2170872128058,472.42479954799995
dirty-hdi-90.csv,2607.7269618133755,1624.7527806671999
dirty-mice-10.csv,267.5363884358339,32.383598811706
dirty-mice-30.csv,437.05054054545957,116.41205011793603
dirty-mice-50.csv,1074.1908234632285,354.014179620418
dirty-mice-70.csv,2186.001913609165,1083.7601716717597
dirty-mice-90.csv,2093.8684163689777,884.622456447022
dirty-iim-10.csv,160.97808558594227,26.421232803481633
dirty-iim-30.csv,300.8231027026094,95.33433512627919
dirty-iim-50.csv,599.1355152514492,224.92827443004265
dirty-iim-70.csv,890.3643470210591,384.5404312557867
dirty-iim-90.csv,834.3193825573795,322.5569154774
dirty-si-10.csv,170.79124177639451,24.626992298527643
dirty-si-30.csv,323.5049100012076,84.85673050925386
dirty-si-50.csv,473.053147502387,161.19523850040915
dirty-si-70.csv,683.5567221258638,226.94832895961346
dirty-si-90.csv,759.5483102546706,251.01173558982765
dirty-mfi-10.csv,1867.6613712300577,423.012226234946
dirty-mfi-30.csv,3825.27153247418,1681.2407397720833
dirty-mfi-50.csv,5563.994061094526,3354.6926223045675
dirty-mfi-70.csv,6610.944790666905,4747.615488873651
dirty-mfi-90.csv,7001.9744137917805,5265.10150616082
dirty-randomforest-10.csv,471.67322984029187,54.491845816122
dirty-randomforest-30.csv,374.8836425651545,88.56577425661604
dirty-randomforest-50.csv,468.73089744889927,154.878012740953
dirty-randomforest-70.csv,743.224187313407,244.96467160283197
dirty-randomforest-90.csv,925.3164379035372,361.40152364407044
dirty-xgboost-10.csv,185.87385944703001,28.687049609918752
dirty-xgboost-30.csv,375.68128400540024,112.09070482114765
dirty-xgboost-50.csv,826.5609614293156,268.20485440077107
dirty-xgboost-70.csv,990.4795309701889,421.3338702188617
dirty-xgboost-90.csv,3001.0103711273964,1903.4707095329813
