File Name,RMSE,MAE
clean.csv,3881.1123222675033,3155.4111705394726
dirty-resid-50-50.csv,3930.878991210624,3273.073634181425
dirty-resid-50-70.csv,3922.877805766045,3309.8822261386854
dirty-resid-50-90.csv,3947.0582033057003,3316.5144514593385
dirty-resid-50-50.csv,3925.900162619391,3265.634846038598
dirty-resid-50-70.csv,3910.8040261565347,3270.544084001882
dirty-resid-50-90.csv,3945.1035888651927,3306.078012055137
dirty-resid-50-50.csv,4059.0261550316145,3271.9478931660437
dirty-resid-50-70.csv,4482.6682113227835,3401.3338247543334
dirty-resid-50-90.csv,5973.75889763876,4605.31103624736
dirty-resid-50-50.csv,3924.068317942367,3251.5660279987837
dirty-resid-50-70.csv,3945.0080582260416,3335.1384274834218
dirty-resid-50-90.csv,3933.888246971721,3279.51035973087
dirty-resid-50-50.csv,3911.3463398377517,3236.6063268984385
dirty-resid-50-70.csv,3905.1946077822827,3255.0644990121077
dirty-resid-50-90.csv,3944.998847956696,3304.963898795048
dirty-trend-50-50.csv,3906.207497180633,3186.6041317406607
dirty-trend-50-70.csv,3799.85869683125,3103.927998319276
dirty-trend-50-90.csv,3698.0302722864585,2957.116665883792
dirty-trend-50-50.csv,3910.3090885289535,3180.9317336070294
dirty-trend-50-70.csv,3816.4307805355566,3118.1722753181066
dirty-trend-50-90.csv,3698.5467782554133,2956.183363822774
dirty-trend-50-50.csv,4016.1858566949886,3226.96437811307
dirty-trend-50-70.csv,3885.9929531218268,3101.483190852817
dirty-trend-50-90.csv,3761.327854424821,2964.9376027512153
dirty-trend-50-50.csv,3993.2465394932624,3301.91885238139
dirty-trend-50-70.csv,3915.0314719704447,3283.8241718680665
dirty-trend-50-90.csv,3686.368451456091,3034.0233737013186
dirty-trend-50-50.csv,3902.628648973545,3164.544198370894
dirty-trend-50-70.csv,3810.0228359713897,3100.3835835662217
dirty-trend-50-90.csv,3703.216367659766,2958.2693112010083
dirty-seasonal-50-50.csv,3967.017323570568,3326.914905813712
dirty-seasonal-50-70.csv,3924.1606922775145,3302.2589457039935
dirty-seasonal-50-90.csv,3989.210886992773,3380.3553098723214
dirty-seasonal-50-50.csv,3976.90156956307,3315.1583857876667
dirty-seasonal-50-70.csv,3943.266868432699,3258.856516462108
dirty-seasonal-50-90.csv,3992.0681207981843,3369.156184503447
dirty-seasonal-50-50.csv,4495.597283786724,3490.7727729927096
dirty-seasonal-50-70.csv,5115.385658181654,3808.1939694631956
dirty-seasonal-50-90.csv,6402.832669175442,4991.589097786902
dirty-seasonal-50-50.csv,4081.145716667131,3356.7963217738343
dirty-seasonal-50-70.csv,3956.1830213697117,3335.6124865253782
dirty-seasonal-50-90.csv,3935.118863272188,3290.805087080011
dirty-seasonal-50-50.csv,3944.496825236553,3279.6752107997813
dirty-seasonal-50-70.csv,3928.290756574128,3259.2813273551265
dirty-seasonal-50-90.csv,3995.4825120552164,3371.2661353845
