Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,6261.27516107373,0.7000057684500336,0.7608434363755289
0.72,5927.770396719953,0.720004956366985,0.7788194930995315
0.74,5601.365733796197,0.7400042396828994,0.7965068593387676
0.76,5280.461149444992,0.7600094246161446,0.8139095025430282
0.78,4963.756625094644,0.7800041180809079,0.8310125482002753
0.8,4649.252132173317,0.8000089743532592,0.8478332539767927
0.82,4335.347647823541,0.8200074558008228,0.8643574831062858
0.84,4019.7431391877026,0.8400083366997422,0.8805926564623218
0.86,3699.838569122416,0.8600092149412527,0.8965370456822924
0.88,3372.33389048415,0.8800040111966901,0.9121863438295565
0.9,3032.329033271904,0.9000062166414909,0.9275515415202761
0.92,2673.0239003414335,0.9200056816462908,0.9426251310557896
0.94,2282.8183259760854,0.940006107758959,0.9574100454883454
0.96,1839.311990171288,0.9600088556458549,0.9719065894537092
0.98,1284.70406720096,0.9800089534008183,0.9861085788832771
