CR_Target,CR_Actual,J_Actual
0.1,0.09932659932659933,0.3635708803874132
0.1,0.09932659932659933,0.36647881356389966
0.1,0.09932659932659933,0.36415020085176963
0.1,0.09932659932659933,0.3663495662031952
0.1,0.09932659932659933,0.36540682737189467
0.2,0.1994949494949495,0.4487169558433983
0.2,0.1994949494949495,0.45392390127774584
0.2,0.1994949494949495,0.4528406183240154
0.2,0.1994949494949495,0.45387858466561565
0.2,0.1994949494949495,0.45552054392958213
0.3,0.2996632996632997,0.5592701641908091
0.3,0.2996632996632997,0.5574012418809017
0.3,0.2996632996632997,0.5614149136756849
0.3,0.2996632996632997,0.5546926360580183
0.3,0.2996632996632997,0.5594796696197676
0.4,0.3998316498316498,0.6977021713739628
0.4,0.3998316498316498,0.6975736551713703
0.4,0.3998316498316498,0.7005709887824907
0.4,0.3998316498316498,0.7019129104412443
0.4,0.3998316498316498,0.6935161601497007
0.5,0.5,0.8840650150269809
0.5,0.5,0.882243716233223
0.5,0.5,0.8736114996742335
0.5,0.5,0.873791024861399
0.5,0.5,0.8798690829896801
0.6,0.5993265993265994,1.1132969672683268
0.6,0.5993265993265994,1.109035046335627
0.6,0.5993265993265994,1.11341120878529
0.6,0.5993265993265994,1.1149219442762004
0.6,0.5993265993265994,1.1131397464496573
0.7,0.6994949494949495,1.4394040088487212
0.7,0.6994949494949495,1.4447850940125737
0.7,0.6994949494949495,1.4413523563933746
0.7,0.6994949494949495,1.4433172402836993
0.7,0.6994949494949495,1.442776453748195
0.8,0.7996632996632996,1.9283984943598946
0.8,0.7996632996632996,1.9304130943094857
0.8,0.7996632996632996,1.927110959150017
0.8,0.7996632996632996,1.9315507221328594
0.8,0.7996632996632996,1.9242307020019886
0.9,0.8998316498316499,2.704986105486589
0.9,0.8998316498316499,2.7020613437946843
0.9,0.8998316498316499,2.696030374819802
0.9,0.8998316498316499,2.696746832494932
0.9,0.8998316498316499,2.7000031751210725
