Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,2704.2570425704257,0.7000096655491361,0.8941510898625866
0.72,2554.7355473554735,0.720007900848499,0.9038953302779124
0.74,2408.9940899408994,0.7400093020125158,0.9131560317458123
0.76,2266.3726637266373,0.7600066202209914,0.9219572392399996
0.78,2126.0912609126094,0.7800076498977487,0.9303282824026763
0.8,1987.429874298743,0.8000065723426674,0.938291121691205
0.82,1849.518495184952,0.8200089282886214,0.9458709984802027
0.84,1711.457114571146,0.8400074838454782,0.9530869353516721
0.86,1572.0757207572076,0.8600063986993074,0.9599610268310781
0.88,1429.9042990429905,0.880008000320623,0.9665133149149293
0.9,1282.9928299282994,0.9000080914087644,0.9727606035485814
0.92,1128.4012840128403,0.9200085147694546,0.9787206682286224
0.94,961.3296132961331,0.9400069137011238,0.98440906937362
0.96,772.4177241772418,0.9600088077620944,0.9898427605766278
0.98,537.6353763537636,0.9800095238035281,0.99503527704439
