Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,5.4620892417848355,0.7000036282695922,0.6890125159597288
0.72,5.166383327666553,0.7200065583500714,0.7085807614843931
0.74,4.877577551551031,0.7400038602232359,0.728259890075531
0.76,4.594171883437669,0.7600047576097873,0.7480670108352315
0.78,4.3147662953259065,0.7800092056628045,0.7680108025490411
0.8,4.038060761215224,0.8000034583380196,0.7880868546757732
0.82,3.762155243104862,0.8200058610534094,0.8083237787823009
0.84,3.4852497049940996,0.8400092806848392,0.8287257138459432
0.86,3.2051441028820573,0.8600064377158534,0.8492977081103278
0.88,2.9187383747674955,0.8800079240740685,0.8700648322766439
0.9,2.622132442648853,0.9000038215813694,0.8910331851062308
0.92,2.3091261825236504,0.9200070998877266,0.912235955442366
0.94,1.9699193983879677,0.9400094024543987,0.933688742486179
0.96,1.5854117082341648,0.9600057612332408,0.9554186355454074
0.98,1.105702114042281,0.9800074296682482,0.9774878420667164
