Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,405.99864998649986,0.7000021879202942,0.9984192306678025
0.72,383.07137071370715,0.7200043553367227,0.9985926858205276
0.74,360.78345783457837,0.7400051224459259,0.9987516665378029
0.76,339.0250202502025,0.7600014631972121,0.9988976983421064
0.78,317.6661866618666,0.7800084661375711,0.9990322286309199
0.8,296.6070560705607,0.8000091421412453,0.9991563115974806
0.82,275.7177571775718,0.8200053577618406,0.9992709932592428
0.84,254.84843848438484,0.8400023488903543,0.9993772072640947
0.86,233.81927819278192,0.8600076249611933,0.9994757818550208
0.88,212.43047430474306,0.8800046170794076,0.9995673360250683
0.9,190.37233372333725,0.9000079194503927,0.9996525571477971
0.92,167.22527225272253,0.9200056020616383,0.9997319415077041
0.94,142.270002700027,0.9400056172118527,0.9998060047676407
0.96,114.13788137881379,0.9600067728226529,0.9998751623797242
0.98,79.29241292412924,0.9800086894889944,0.9999397664872817
