File Name,Precision,Recall,F1 Score,PG(F1 Score)
clean.csv,0.9908333333333335,0.995,0.9927272727272728,0.0
dirty-5.csv,0.9853846153846155,0.98,0.9820761904761904,0.010729112157683691
dirty-10.csv,0.9347915966386554,0.94,0.9288175863991082,0.06437788915840759
dirty-15.csv,0.9380222222222221,0.9,0.9036152597402597,0.08976484824699121
dirty-20.csv,0.9046688453159041,0.85,0.8424060606060606,0.15142246642246648
dirty-25.csv,0.9371666666666667,0.77,0.8159654366101735,0.17805679462345164
dirty-30.csv,0.91,0.685,0.7474305237246415,0.24709379478287036
dirty-35.csv,0.7791666666666667,0.535,0.5900598275598276,0.40561738982068657
dirty-40.csv,0.5166666666666666,0.33,0.36675953907203906,0.6305535778578362
dirty-45.csv,0.554,0.36,0.4148026096710307,0.5821585433716723
dirty-50.csv,0.365,0.145,0.19056442577030816,0.8080394978504222
dirty-55.csv,0.455,0.265,0.3114538503641952,0.6862644364463236
dirty-60.csv,0.05,0.035,0.040606060606060604,0.959096459096459
dirty-65.csv,0.05,0.03,0.035,0.9647435897435898
dirty-70.csv,0.115,0.005,0.009583333333333333,0.990346459096459
dirty-75.csv,0.15,0.05,0.07200000000000001,0.9274725274725275
dirty-80.csv,0.075,0.06,0.06541666666666666,0.9341040903540904
dirty-85.csv,0.075,0.06,0.0656060606060606,0.9339133089133089
dirty-90.csv,0.01,0.01,0.01,0.98992673992674
dirty-95.csv,0.03,0.03,0.03,0.9697802197802198
dirty-mode-5.csv,0.9764781746031745,0.985,0.9795592246718655,0.013264517271930407
dirty-mode-10.csv,0.8823449612403101,0.895,0.8735428194993413,0.12005759940542547
dirty-mode-15.csv,0.893153153153153,0.91,0.8834722222222223,0.11005545380545376
dirty-mode-20.csv,0.7673611111111112,0.725,0.6986809637730691,0.29620049436778756
dirty-mode-25.csv,0.7684810126582278,0.72,0.6879171906524847,0.30704312296910885
dirty-mode-30.csv,0.8664367816091954,0.82,0.8052573599240266,0.18884331875784874
dirty-mode-35.csv,0.5624152542372882,0.525,0.4857588178404824,0.5106825095013455
dirty-mode-40.csv,0.5396666666666667,0.535,0.49392352092352093,0.5024579917437061
dirty-mode-45.csv,0.42611519607843135,0.43,0.3756355196166517,0.6216125718147281
dirty-mode-50.csv,0.37182653061224485,0.365,0.30903034547152197,0.6887056959535951
dirty-mode-55.csv,0.35866371220020854,0.39,0.32572468966218965,0.6718890488750837
dirty-mode-60.csv,0.2101142857142857,0.24,0.1684671717171717,0.8302986365486366
dirty-mode-65.csv,0.24511111111111114,0.11,0.12956393606393607,0.8694868775912732
dirty-mode-70.csv,0.08899470899470899,0.17,0.08717505241090148,0.9121863025164911
dirty-mode-75.csv,0.04849489795918368,0.135,0.04957191780821917,0.9500649179587536
dirty-mode-80.csv,0.0001,0.01,0.00019801980198019803,0.9998005295034998
dirty-mode-85.csv,0.000625,0.025,0.0012195121951219512,0.9987715536496025
dirty-mode-90.csv,0.0001,0.01,0.00019801980198019803,0.9998005295034998
dirty-mode-95.csv,0.013225,0.115,0.023721973094170404,0.9761042395571543
dirty-knn-5.csv,0.982,0.99,0.9855555555555555,0.007224257224257326
dirty-knn-10.csv,0.9908333333333335,0.995,0.9927272727272728,0.0
dirty-knn-15.csv,0.982,0.99,0.9855555555555555,0.007224257224257326
dirty-knn-20.csv,0.9908333333333335,0.995,0.9927272727272728,0.0
dirty-knn-25.csv,0.9843333333333334,0.985,0.982111111111111,0.010693935693935824
dirty-knn-30.csv,0.982,0.99,0.9855555555555555,0.007224257224257326
dirty-knn-35.csv,0.9713888888888889,0.975,0.9711394109158814,0.02174601464517447
dirty-knn-40.csv,0.9530555555555555,0.97,0.9593137254901961,0.03365833512892339
