Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,2704.3450632615977,0.6999980591706909,0.5239006215792729
0.72,2554.7425694710696,0.7200069487896282,0.5261045526635703
0.74,2409.04014069246,0.7400029090596296,0.5281456662762483
0.76,2266.4377635899914,0.7599974080971287,0.5300384677295154
0.78,2126.135424827885,0.7800013108969045,0.5317956153287631
0.8,1987.433112737335,0.8000061034640776,0.5334266475295636
0.82,1849.5308139825634,0.8200071405197221,0.5349403579934361
0.84,1711.5285135608194,0.8399971749146531,0.536344265852131
0.86,1572.1261898014636,0.8599992143526296,0.5376467155805174
0.88,1429.923819366884,0.8800052919026791,0.5388525030857793
0.9,1283.0213705846072,0.9000042897625291,0.5399648548085164
0.92,1128.4187934454649,0.9200063232729313,0.5409860744677631
0.94,961.316007934788,0.9400084614262595,0.541914094195609
0.96,772.4128590241544,0.9600092815655641,0.5427392546588873
0.98,537.7089466402174,0.9800042166428584,0.5434278008607172
