file,avg_distance,avg_imputed_distance,avg_ratio,std_distance,std_imputed_distance,std_ratio
dirty-mean-5.csv,0.10143532466104975,0.10143246345462073,0.999919394921724,0.03870199474486944,0.038713067337480415,0.010743869940698017
dirty-median-5.csv,0.10553163535075802,0.10544126692561853,0.9991116881344266,0.03724856668994188,0.03725832027939241,0.012625541810072805
dirty-mode-5.csv,0.1055744019491136,0.10563423597951377,1.0004722816807199,0.0348887022401282,0.03497732559017528,0.010523860825390594
dirty-knn-5.csv,0.10871371079248704,0.10871943287593157,1.0000223774418293,0.03766884670373681,0.037687814354169256,0.0051598192933033984
dirty-hdi-5.csv,0.10676966600413147,0.10677863957314172,1.000029985547534,0.031168979997572392,0.031190551573463655,0.003466201889956136
dirty-mice-5.csv,0.09511953369372418,0.09508085390921242,0.9995509782667118,0.0297808967899693,0.029786310605166524,0.006863229632851987
dirty-iim-5.csv,0.0991939942837655,0.09917146227451872,0.9995903959810702,0.03831636416560579,0.038356813992577225,0.00503787215786811
dirty-si-5.csv,0.10713777167143489,0.10714693118550113,1.000039488338371,0.03442493987052436,0.03448679430544033,0.011576445154733685
dirty-mfi-5.csv,0.09931489770909567,0.0991563298941536,0.9987461884607933,0.03290350490850354,0.03286901194367758,0.0257169780316441
dirty-missfi-5.csv,0.09835385087766207,0.09834727252094798,0.9999261048238597,0.031476961936331996,0.03147538240342532,0.002635064971647971
dirty-xgbi-5.csv,0.1077846148727652,0.1077862689474295,1.0000111713372037,0.04295394545035898,0.04295532114768563,0.0018927449268361513
dirty-gain-5.csv,0.10748756738792321,0.10748764066956436,0.9999127058485581,0.039691823452634306,0.03972693966573352,0.012138829899751234
dirty-midae-5.csv,0.09777625803648143,0.09765919377157681,0.9991523807395274,0.031918200172597236,0.03175573291361652,0.011662487580713152
dirty-mean-10.csv,0.11111295943193687,0.11112558002188759,1.000156140306422,0.04156165954702312,0.041588557334951745,0.017997525260818787
dirty-median-10.csv,0.105338283624246,0.10541294792045844,1.0008850268212077,0.037441323838337114,0.03748657851398771,0.016370250921124613
dirty-mode-10.csv,0.11178498825925183,0.11189041316976178,1.0013433502314817,0.03634273711384538,0.03633134062179381,0.01946407075343797
dirty-knn-10.csv,0.10189113728810707,0.10190410548986785,1.0003172270688376,0.03389391553591146,0.03385846445335649,0.007124422710757345
dirty-hdi-10.csv,0.10316672618528347,0.10313169358781343,0.99970554269175,0.03141324949640295,0.03139694457500503,0.007745027776636223
dirty-mice-10.csv,0.10678067740993782,0.10680836512103146,1.000431827819245,0.033753982601181454,0.03372781485376208,0.007816707569239944
dirty-iim-10.csv,0.10914609594359731,0.1091422324449394,1.0000444825187857,0.03664853810838102,0.03662996038763953,0.006266203442950703
dirty-si-10.csv,0.10550417532173476,0.10536593186951759,0.998443611864903,0.03486101133149204,0.034949440009620664,0.0156806616533607
dirty-mfi-10.csv,0.10095171967459766,0.10143215478238533,1.00580310458239,0.032216491929972564,0.03238063566752539,0.054251401761921995
dirty-missfi-10.csv,0.09542871449104444,0.09540395790771022,0.9998132531507486,0.028685818292602666,0.0286536729412536,0.00546043671280162
dirty-xgbi-10.csv,0.11197295739572724,0.11199489315576687,1.0002462678056874,0.03951221608911226,0.03951174084058184,0.0039556529577268575
dirty-gain-10.csv,0.10884757512732568,0.10886657179712307,1.0020417720608046,0.03698173434118347,0.03677852279099718,0.04335314114184416
dirty-midae-10.csv,0.1078096818505912,0.10796673796934934,1.001783822261733,0.036371740203055905,0.036344521994101535,0.01797873787104487
dirty-mean-15.csv,0.09775366259201303,0.09788289787949364,1.0016482034955525,0.03427054165681772,0.03436667078381313,0.035528288352668455
dirty-median-15.csv,0.10729349136464575,0.10743966357936649,1.00238779583833,0.03470948140685248,0.03446955529333726,0.026462737948699695
dirty-mode-15.csv,0.10610952893979936,0.10602239517750994,0.9992347730389095,0.033897968872689296,0.0339807372726885,0.030622374214862413
dirty-knn-15.csv,0.10027335391201035,0.10022712973109478,0.9995035921052755,0.03476430029763421,0.03478913840458541,0.013139235524161297
dirty-hdi-15.csv,0.10258436472988977,0.10257550696702782,1.000036074932319,0.037177535331484074,0.03715569306263942,0.009379966076699072
dirty-mice-15.csv,0.10915768254548568,0.1091278510099921,0.9999143003551006,0.03602936550197855,0.03593837308330504,0.011337152921196081
dirty-iim-15.csv,0.11128650210860999,0.11137321560111507,1.0009402271934493,0.037570955193907754,0.037575190626272126,0.010359855712245243
dirty-si-15.csv,0.10700289623335436,0.10714003487088665,1.0022155283496539,0.034295001861463933,0.03423505613130317,0.031044867062377007
dirty-mfi-15.csv,0.10718217244242112,0.1084233519895937,1.014749895227737,0.035229791882411,0.03561291439374754,0.08732569745684247
dirty-missfi-15.csv,0.10048912500807015,0.10051029365879367,1.0002380629510543,0.029848557583624778,0.029875245831310588,0.00817951079342135
dirty-xgbi-15.csv,0.10156252560344393,0.10158290849205293,1.0001577115362863,0.03245345822671233,0.032482323676988716,0.005152438002328575
dirty-gain-15.csv,0.1063744098567088,0.10716558603302018,1.0098172027641694,0.042752802240769605,0.042801676140542325,0.06451468422435418
dirty-midae-15.csv,0.09973978272845255,0.09988810558895479,1.0020726576523407,0.03222046836677795,0.032287186827565394,0.027944901536112395
dirty-mean-20.csv,0.10327543068349236,0.10362320900313315,1.003966757102818,0.041002580079860476,0.04112802676823349,0.03589804467975986
dirty-median-20.csv,0.09928511094347024,0.09959074308473106,1.0045094742946166,0.028982746287502872,0.02890664112747615,0.049013032223591824
dirty-mode-20.csv,0.09953399507226289,0.09998200806365563,1.0055880115048215,0.03271294395531997,0.0328976867793637,0.04401541452255017
dirty-knn-20.csv,0.11535174796282925,0.11538967404162896,1.0003059662411578,0.05144749453297084,0.051543008386142924,0.014817939376180415
dirty-hdi-20.csv,0.10398705428155611,0.1040114590072614,1.0004098641626038,0.036491051285589805,0.036503138286181146,0.014321874605543084
dirty-mice-20.csv,0.10845548410398763,0.10843323015568979,0.9998959545020523,0.03788662410948089,0.03785389268136571,0.017038188329834836
dirty-iim-20.csv,0.10160647688281224,0.10170823410079763,1.0010054915932738,0.03414749658099554,0.03420161259291142,0.009964687353791446
dirty-si-20.csv,0.10290306744868061,0.10316223895408627,1.0023559349185114,0.03419661504316637,0.03436561381904133,0.030112552101991864
dirty-mfi-20.csv,0.1022644342411727,0.10490506997799046,1.0294007356300767,0.029826453389231202,0.03190470738926676,0.13071381328082468
dirty-missfi-20.csv,0.10306709976775572,0.10309087768348525,1.000315650476156,0.03311888844991427,0.03311256743041524,0.005591924558482989
dirty-xgbi-20.csv,0.11683650486153556,0.1168603014966275,1.0003348595971262,0.04458553419736398,0.04454864419305888,0.006447767462430926
dirty-gain-20.csv,0.10100650593743438,0.10112659997215934,1.0016050047001488,0.0344442824864709,0.03462903404337079,0.046895266281438246
dirty-midae-20.csv,0.09914104433060661,0.09921882287731039,1.002096705749245,0.033018436295337954,0.03292433236758875,0.038376249587638196
dirty-mean-25.csv,0.10297248170835681,0.1033151821965494,1.0044399313837,0.02939781700996659,0.0294200637021824,0.042942297523163996
dirty-median-25.csv,0.10214833373607772,0.10231237786235822,1.0040896624943492,0.03071512996971995,0.030233030979726606,0.05006050717431763
dirty-mode-25.csv,0.11359610374710445,0.11425189610018466,1.0071199054956277,0.04121676291745422,0.041219267704139445,0.05234564415493418
dirty-knn-25.csv,0.09958544898136609,0.09972597104734875,1.001839378119356,0.03255079191971884,0.03247652386747596,0.017100376084738356
dirty-hdi-25.csv,0.10760365083492153,0.10773911674431358,1.0018032135111117,0.038163012159470086,0.03801904250699405,0.016382094553414724
dirty-mice-25.csv,0.10621000774034851,0.10634978642094109,1.001253577214007,0.035663268287584086,0.0358382770809578,0.017128755112253556
dirty-iim-25.csv,0.10523725373746588,0.10531615872183256,1.0008758744112305,0.03672426940011143,0.03673466618345891,0.01073334920639073
dirty-si-25.csv,0.1009865042672641,0.10137486811159134,1.0049727970854962,0.03228769630336153,0.032276459334650134,0.034094172314336604
dirty-mfi-25.csv,0.10164190940678598,0.10553642280268916,1.0520458183522263,0.03382742734633894,0.03627776274383737,0.20786111153147302
