Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,5568.695686956869,0.7000077538097765,0.5287959715090703
0.72,5264.642646426464,0.7200075073724015,0.5360154552158283
0.74,4967.889678896789,0.7400074682030251,0.5429101200826997
0.76,4676.986769867699,0.7600095946474672,0.5494957359007882
0.78,4390.583905839058,0.7800066371927282,0.5557846038786568
0.8,4106.981069810698,0.8000098875494038,0.5617943345295062
0.82,3824.628246282463,0.8200094131228995,0.5675354258374725
0.84,3541.5254152541524,0.8400092013026433,0.5730220818496409
0.86,3255.3225532255324,0.8600094163467308,0.5782667936040594
0.88,2963.0196301963024,0.8800098689414034,0.5832814555683664
0.9,2660.5666056660566,0.9000070441100123,0.5880767384230687
0.92,2341.763417634176,0.9200085829109449,0.5926656035974623
0.94,1996.659966599666,0.9400087801150736,0.5970577056441293
0.96,1605.8060580605807,0.9600097072114036,0.6012649989022043
0.98,1119.0511905119051,0.9800086383844909,0.6053014412559715
