file_name,Max_Correlation,Min_Correlation,Avg_Correlation,file
,0.9493082666337306,0.9205180176395101,0.9360322588478694,dirty-mean-5.csv
,0.9400667586171385,0.9054370151761517,0.9231413293257513,dirty-mean-10.csv
,0.9195976942702044,0.8902616207289614,0.9078653212781704,dirty-mean-15.csv
,0.8654098558247402,0.8481412680948628,0.8537129553194106,dirty-mean-20.csv
,0.8668319282864927,0.8404128097099092,0.8529935551652996,dirty-mean-25.csv
,0.8375934875555687,0.8087371684446726,0.8233133705302995,dirty-mean-30.csv
,0.752550521431196,0.7150714766501128,0.7344130248434456,dirty-mean-35.csv
,0.7192889214672785,0.698107922537134,0.7092065377072975,dirty-mean-40.csv
,0.7472898730585692,0.720015547743554,0.7349614128280503,dirty-mean-45.csv
,0.696253262222386,0.6672067855911078,0.6820752230408287,dirty-mean-50.csv
,0.6501825158140263,0.6300722998336047,0.6374548228242275,dirty-mean-55.csv
,0.6087381568879143,0.5733941572459366,0.5947459193303389,dirty-mean-60.csv
,0.6734162422092714,0.6570456542860463,0.665240146487873,dirty-mean-65.csv
,0.5332101434979812,0.49975052490679084,0.5167670079570551,dirty-mean-70.csv
,0.4413767665845721,0.41216982426637383,0.4321240394111156,dirty-mean-75.csv
,0.39584427417873047,0.37399299511499845,0.3832480906325497,dirty-mean-80.csv
,0.44118542363219965,0.4185725094243309,0.4297035874545945,dirty-mean-85.csv
,0.317753199021605,0.29424222615989054,0.30675394624273516,dirty-mean-90.csv
,0.16817309316744533,0.1575283580999812,0.1652282118281334,dirty-mean-95.csv
,0.9457915472502958,0.9177644977350219,0.9330073824710087,dirty-median-5.csv
,0.9352634326439903,0.9015778186112626,0.9182005722988427,dirty-median-10.csv
,0.9165123502134144,0.8889129677404747,0.9058952861606556,dirty-median-15.csv
,0.8427279028725162,0.8265326107910873,0.8316268010744491,dirty-median-20.csv
,0.8657191719040798,0.8414592245622357,0.8536367191971984,dirty-median-25.csv
,0.8286412218634426,0.7990500013072476,0.8134595868172376,dirty-median-30.csv
,0.709773797499555,0.6695290275688425,0.6903185437291465,dirty-median-35.csv
,0.681310546538191,0.662402436959534,0.6726230611785857,dirty-median-40.csv
,0.731689458927916,0.7043728708233352,0.7182070953183834,dirty-median-45.csv
,0.65421949994285,0.6285602836395,0.6416958472241978,dirty-median-50.csv
,0.6088687896646044,0.5866567501516312,0.5944571297479063,dirty-median-55.csv
,0.6022345893571941,0.5650141907561688,0.5876843825832585,dirty-median-60.csv
,0.6580065937486971,0.6410073447602855,0.6503819918664678,dirty-median-65.csv
,0.4985550265043189,0.46311861056358167,0.4808036211843972,dirty-median-70.csv
,0.40663475596748255,0.37612324155302057,0.39669524160353653,dirty-median-75.csv
,0.3696214599334312,0.34697559338139705,0.35649452104112883,dirty-median-80.csv
,0.42402848029269824,0.3992510450458349,0.41088920618365915,dirty-median-85.csv
,0.2994181540255517,0.2739043465166652,0.2864028336856989,dirty-median-90.csv
,0.1586699635763008,0.14618153774262047,0.15547573014135,dirty-median-95.csv
,0.9383644101798195,0.911047300845017,0.9260109071708109,dirty-mode-5.csv
,0.9228467830730659,0.8901582187917266,0.9058499747367427,dirty-mode-10.csv
,0.9013200866249065,0.8745841259501372,0.8908449929246886,dirty-mode-15.csv
,0.8140001829569995,0.7978982067189778,0.803466358101618,dirty-mode-20.csv
,0.8228196572541737,0.8024166383819142,0.8135071478761122,dirty-mode-25.csv
,0.7972373071074077,0.7678248966469045,0.781677578254256,dirty-mode-30.csv
,0.6630854134748626,0.6222903484934733,0.64337599671425,dirty-mode-35.csv
,0.6192423955243948,0.5981763684186736,0.6083743516355388,dirty-mode-40.csv
,0.6889721877597221,0.6606800256163899,0.6743203341711159,dirty-mode-45.csv
,0.6196493009538125,0.5957422115420153,0.6079316016859755,dirty-mode-50.csv
,0.5644857960501459,0.5411384095318181,0.5497234516557409,dirty-mode-55.csv
,0.5100855217268075,0.47249933410957906,0.4945272997638693,dirty-mode-60.csv
,0.6387166906519742,0.6219278188753095,0.6314202032386674,dirty-mode-65.csv
,0.42322768232428937,0.38903397159720476,0.4058043101843786,dirty-mode-70.csv
,0.3104222005530917,0.28211739733343233,0.3008660425983943,dirty-mode-75.csv
,0.34533812356991195,0.32302254637619954,0.33236881849722505,dirty-mode-80.csv
,0.39894720781966164,0.3744146348581987,0.38573092309942464,dirty-mode-85.csv
,0.24737888320281623,0.2230025500453714,0.23401153654894385,dirty-mode-90.csv
,0.10178839779811652,0.08437245791269686,0.09531900678091558,dirty-mode-95.csv
,0.9859878067910264,0.9538156618438547,0.9710442746388338,dirty-knn-5.csv
,0.9853855360119765,0.9548368705960739,0.9723538973864223,dirty-knn-10.csv
