file,Max_Correlation,Min_Correlation,Avg_Correlation
dirty-mean-5.csv,0.960668696104545,0.9431969299336278,0.9526135422007577
dirty-mean-10.csv,0.954314517492763,0.93965382779625,0.9485342279812711
dirty-mean-15.csv,0.9041610779350048,0.8906596909907142,0.8987022637669798
dirty-mean-20.csv,0.8777385498968384,0.8628668645847549,0.8714283830081478
dirty-mean-25.csv,0.8777523933620804,0.8662993740683288,0.8730454391250857
dirty-mean-30.csv,0.8662597671966743,0.845461588719376,0.8559943051745874
dirty-mean-35.csv,0.817122773134595,0.8102996105450772,0.8145699711009741
dirty-mean-40.csv,0.7748233940252284,0.7572268131008476,0.7676010558446754
dirty-mean-45.csv,0.71447668650571,0.6989890916601013,0.7067901587036222
dirty-mean-50.csv,0.6978554192875032,0.6833639902922991,0.6921332622336591
dirty-mean-55.csv,0.6383456632830095,0.6320627593752999,0.6348772333773656
dirty-mean-60.csv,0.594169781317398,0.5816235240147315,0.5878451418724306
dirty-mean-65.csv,0.6262232409787408,0.6214727496712599,0.6239020142062843
dirty-mean-70.csv,0.5564819952256927,0.5411233442883362,0.5497031473513966
dirty-mean-75.csv,0.5242027236485179,0.5119554205367239,0.5158887810864007
dirty-mean-80.csv,0.42073345407044294,0.40292637589517294,0.41274086015609707
dirty-mean-85.csv,0.38237522027982845,0.3656720390624636,0.3735523962112374
dirty-mean-90.csv,0.2897660382681133,0.28299357849348106,0.28704427566781404
dirty-mean-95.csv,0.23123092665908695,0.22339654156625602,0.22819832353056108
dirty-median-5.csv,0.9586652631572848,0.941276570225332,0.9506153041529551
dirty-median-10.csv,0.9540683166725366,0.9394596183522511,0.9484168975192332
dirty-median-15.csv,0.9028060516979666,0.8900523496727383,0.8977484481088701
dirty-median-20.csv,0.8777088289423267,0.8629588876621179,0.8714026623012694
dirty-median-25.csv,0.8788354769206216,0.8674368685848627,0.8742337812957494
dirty-median-30.csv,0.865282310713387,0.843317142586929,0.8544429113653915
dirty-median-35.csv,0.8157328344649162,0.8086525607836614,0.8129922346669749
dirty-median-40.csv,0.7667721225855704,0.7501752602672404,0.7601432679975451
dirty-median-45.csv,0.7129884789885943,0.6974489626512833,0.7052973851671773
dirty-median-50.csv,0.6968206559570537,0.6819316668775984,0.690793554254536
dirty-median-55.csv,0.6347399699127874,0.6285956585319835,0.6313492737282057
dirty-median-60.csv,0.5930047502531873,0.580425584840952,0.5864093035469242
dirty-median-65.csv,0.624324991892811,0.6186922495244661,0.6215702427980737
dirty-median-70.csv,0.5379693486345808,0.5235725706389222,0.5314716649533175
dirty-median-75.csv,0.5242161144224874,0.5109275179345858,0.515115213223295
dirty-median-80.csv,0.40737441276307407,0.3897299222916802,0.39922948569767
dirty-median-85.csv,0.38119838616480833,0.36410342255983963,0.3721663886335383
dirty-median-90.csv,0.28704581677174984,0.2790089799254086,0.2835371140386479
dirty-median-95.csv,0.2294414804322489,0.22092785840214813,0.2261389745061419
dirty-mode-5.csv,0.9281866430759168,0.9115690933361912,0.9203382966392863
dirty-mode-10.csv,0.9117390841156949,0.898043016307188,0.9070372301020868
dirty-mode-15.csv,0.8398731751751409,0.8312964934695939,0.8369445707373256
dirty-mode-20.csv,0.8023491525483293,0.7895760818495628,0.7966066191563962
dirty-mode-25.csv,0.7988733210533386,0.7888228361461155,0.7951942654313219
dirty-mode-30.csv,0.8543736692227945,0.8352277495404771,0.8449213560301149
dirty-mode-35.csv,0.7085561741360978,0.700129740894178,0.7042505094269286
dirty-mode-40.csv,0.6418195397230875,0.6278308229460429,0.6350297648192639
dirty-mode-45.csv,0.7012609983923898,0.6862667091272925,0.693767204577714
dirty-mode-50.csv,0.682688573821793,0.6693480296730129,0.677716022388247
dirty-mode-55.csv,0.6046634337678577,0.5984035387722402,0.6012040410245897
dirty-mode-60.csv,0.4521803887323127,0.44152708911140404,0.4446501116679703
dirty-mode-65.csv,0.6102639892103693,0.6071076339689928,0.6087343328405784
dirty-mode-70.csv,0.4099565547645213,0.3971723510003883,0.40335938103523866
dirty-mode-75.csv,0.40583798165086427,0.38961631719855827,0.3949176237582634
dirty-mode-80.csv,0.41106626988408185,0.39434573433251635,0.4039402496219591
dirty-mode-85.csv,0.261818173643323,0.24698919443447356,0.2539682640353923
dirty-mode-90.csv,0.2698640434662709,0.26445120873084965,0.2663342096478989
dirty-mode-95.csv,0.17423666156576698,0.16184163446257493,0.1676607381660136
dirty-knn-5.csv,0.9933954876878711,0.9761506906888432,0.985865207281644
dirty-knn-10.csv,0.9937111290760665,0.9755736912984081,0.9857494573548201
dirty-knn-15.csv,0.9918903497238266,0.975117365045928,0.9847746865569179
dirty-knn-20.csv,0.993639060456307,0.9764281555389248,0.9859195983367638
dirty-knn-25.csv,0.994308304069206,0.9760662836175868,0.9861547115755032
dirty-knn-30.csv,0.9953594292654625,0.9790038360318236,0.9876701566522318
dirty-knn-35.csv,0.993656916939676,0.9760886998469155,0.9859840166888133
dirty-knn-40.csv,0.9943376505274002,0.9781213400251113,0.9874547132734126
dirty-knn-45.csv,0.9927523243114608,0.9768331217773777,0.9860444422648298
dirty-knn-50.csv,0.9947654199806002,0.9790612588615089,0.9879574707265899
dirty-knn-55.csv,0.989725166593943,0.9765111704911633,0.9839314227891973
dirty-knn-60.csv,0.9877487187230759,0.9730179697794419,0.9818005483483743
dirty-knn-65.csv,0.9949040926677549,0.981143144635693,0.9890935115622188
dirty-knn-70.csv,0.9910975352329661,0.9801962964650279,0.9872050030389812
dirty-knn-75.csv,0.9940016989439392,0.9781955845221836,0.987185874990477
dirty-knn-80.csv,0.983416172696375,0.9715044060534883,0.9789028312718616
dirty-knn-85.csv,0.9792964507355774,0.9647511233002388,0.9731809550463681
dirty-knn-90.csv,0.9661202644547201,0.9499236592727313,0.9595495904818704
dirty-knn-95.csv,0.9460579150679023,0.9308403297994622,0.9407427503243484
dirty-hdi-5.csv,0.9935623632027667,0.97499024844469,0.9852529937021426
dirty-hdi-10.csv,0.9932103167404037,0.9752822668997917,0.9853661328781589
dirty-hdi-15.csv,0.9923259299679574,0.9754125108556134,0.9850912302051235
dirty-hdi-20.csv,0.9941885574882645,0.9760931230829668,0.9859858231965887
dirty-hdi-25.csv,0.9941763522949779,0.9751499732915235,0.9856658176916141
dirty-hdi-30.csv,0.9944515725324569,0.9765481766564946,0.98621989853472
dirty-hdi-35.csv,0.9935726824031618,0.9751930417265764,0.9853538278089548
dirty-hdi-40.csv,0.9934432010834164,0.9755283696420887,0.9856657035487643
dirty-hdi-45.csv,0.9926173023857033,0.9748655240412714,0.9850204503417161
dirty-hdi-50.csv,0.9948996281747344,0.9774479205329882,0.9871273232559971
dirty-hdi-55.csv,0.991354014892872,0.9784026964165256,0.9854171927064466
dirty-hdi-60.csv,0.9931421987685325,0.979370001435014,0.986897677192046
dirty-hdi-65.csv,0.9944008746423932,0.9781900764677613,0.9874184684034726
dirty-hdi-70.csv,0.9913181872929728,0.980982664084492,0.9874901697194218
dirty-hdi-75.csv,0.9920870491423612,0.976492620436296,0.9855905396811077
dirty-hdi-80.csv,0.9925185271307994,0.9799977812616678,0.9872453818764535
dirty-hdi-85.csv,0.9923889033938819,0.9827264549992701,0.988105727533736
dirty-hdi-90.csv,0.9866961619701204,0.973892804349367,0.9821155116794859
dirty-hdi-95.csv,0.9816521542556188,0.9755934480867718,0.9789061564583669
dirty-mice-5.csv,0.99275381573011,0.9743400115315163,0.9846033487031823
dirty-mice-10.csv,0.9936215780222396,0.9748410478414622,0.9853315945133555
dirty-mice-15.csv,0.9874809838969367,0.9688636979291881,0.9793286040048577
