Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,1.091997839956799,0.7000045246155314,0.9780224442655845
0.72,1.0310366207324146,0.7200077842512489,0.9803305752325733
0.74,0.9716954339086783,0.7400094951145509,0.9824657255868585
0.76,0.9136942738854779,0.7600043531369091,0.984443858673416
0.78,0.8566931338626773,0.7800067891624084,0.986280948207954
0.8,0.8004120082401649,0.8000057414977746,0.9879888597024936
0.82,0.7444908898177964,0.8200086151850178,0.98957973078119
0.84,0.688569771395428,0.8400062510960573,0.9910631084682157
0.86,0.6321686433728675,0.8600052819350625,0.9924486906122484
0.88,0.5747074941498831,0.8800037487934562,0.9937445516889364
0.9,0.5153663073261465,0.9000098641296775,0.9949585511763427
0.92,0.45302506050121005,0.9200057111281396,0.9960962360718563
0.94,0.3857037140742815,0.9400075281608953,0.9971644988812253
0.96,0.3097021940438809,0.9600072990548943,0.99816821435561
0.98,0.21538030760615212,0.9800087948566809,0.9991122869836453
