Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,3052.3500398311835,0.6999986023691209,0.9028964870743867
0.72,2891.1473075814843,0.7200072263704596,0.911712577179173
0.74,2733.3446329598805,0.7400001260513492,0.9200956302061714
0.76,2578.0420007118764,0.759999804293576,0.9280801968282797
0.78,2424.539398972864,0.7800001029765161,0.9356870168774103
0.8,2272.0368141832914,0.8000002446541222,0.9429378737344246
0.82,2119.6342310886625,0.8200001403749925,0.9498535886567121
0.84,1966.231631044594,0.8400062142262237,0.9564559266793006
0.86,1810.6289937117579,0.8600071982853974,0.9627597667256227
0.88,1651.1262902761064,0.8800079488393766,0.9687844224011793
0.9,1485.423481753928,0.9000093262571057,0.9745469844827735
0.92,1310.1205105171275,0.9200088850120172,0.9800629642395872
0.94,1119.6172816488415,0.940000124109989,0.9853465715571911
0.96,902.7136053153444,0.9600040111769625,0.9904192848211456
0.98,631.009000152545,0.980008965038142,0.9952956050846966
