File,Mutual_Information_V2
dirty-mean-10.csv,4.91344363388642
dirty-mean-30.csv,3.6068785775009102
dirty-mean-50.csv,2.369630284160752
dirty-mean-70.csv,1.2236835012444889
dirty-mean-90.csv,0.25197225344652363
dirty-median-10.csv,4.900439436443557
dirty-median-30.csv,3.611650949939273
dirty-median-50.csv,2.375244080001544
dirty-median-70.csv,1.2197747842047084
dirty-median-90.csv,0.2491998058635474
dirty-knn-10.csv,5.139422343002943
dirty-knn-30.csv,4.169437660061149
dirty-knn-50.csv,3.336251809096826
dirty-knn-70.csv,2.6123215665802584
dirty-knn-90.csv,1.9350991902645416
dirty-hdi-10.csv,5.136800593015023
dirty-hdi-30.csv,4.108646910617008
dirty-hdi-50.csv,3.2535924274399264
dirty-hdi-70.csv,2.515440557103474
dirty-hdi-90.csv,1.9198516234405365
dirty-mice-10.csv,5.109315395255906
dirty-mice-30.csv,4.071177278919519
dirty-mice-50.csv,3.3197717598649095
dirty-mice-70.csv,2.6536398492722553
dirty-mice-90.csv,1.9636468708699173
dirty-iim-10.csv,5.027796791973174
dirty-iim-30.csv,3.8918706647750247
dirty-iim-50.csv,3.0078640674746038
dirty-iim-70.csv,2.140940855874519
dirty-iim-90.csv,1.6851143658636998
dirty-si-10.csv,5.147291435512303
dirty-si-30.csv,4.296852589096158
dirty-si-50.csv,3.5496886416505102
dirty-si-70.csv,2.969407776467112
dirty-si-90.csv,2.5291755909492477
dirty-randomforest-10.csv,5.186950634375851
dirty-randomforest-30.csv,4.249819002510981
dirty-randomforest-50.csv,3.506334623447306
dirty-randomforest-70.csv,2.76887827983221
dirty-randomforest-90.csv,2.1313241318958354
dirty-xgboost-10.csv,5.148927599464635
dirty-xgboost-30.csv,4.159375830835984
dirty-xgboost-50.csv,3.341417094511948
dirty-xgboost-70.csv,2.6838072349820954
dirty-xgboost-90.csv,2.0999926786242953
dirty-gan-10.csv,4.729136487740295
dirty-gan-30.csv,3.223906678374938
dirty-gan-50.csv,1.9477351047550422
dirty-gan-70.csv,0.9005126517981488
dirty-gan-90.csv,0.13711637704617452
dirty-midae-10.csv,4.922706516094708
dirty-midae-30.csv,3.8266353212363757
dirty-midae-50.csv,2.9917776530487172
dirty-midae-70.csv,2.2159605847785455
dirty-midae-90.csv,1.8624398437681298
