File Name,Precision,Recall,F1 Score,PG(F1 Score)
clean.csv,0.982,0.98,0.9801263157894737,0.0
dirty-5.csv,0.9253333333333333,0.92,0.9192638655462184,0.06209653721442193
dirty-10.csv,0.9439285714285713,0.92,0.9287037037037037,0.05246529070525983
dirty-15.csv,0.9388235294117646,0.9,0.9105,0.07103810464816572
dirty-20.csv,0.9453333333333334,0.92,0.9282619047619047,0.05291604785225379
dirty-25.csv,0.8355555555555556,0.48,0.5812727272727273,0.4069410055534293
dirty-30.csv,0.9133333333333333,0.66,0.7332727272727273,0.2518589538307727
dirty-35.csv,0.8916666666666667,0.52,0.6380848484848485,0.3489769244988766
dirty-40.csv,0.7833333333333333,0.62,0.6701574660633485,0.3162539814844692
dirty-45.csv,0.49,0.24,0.31113863089095284,0.6825525181003467
dirty-50.csv,0.74,0.34,0.44884892884892885,0.5420499157933646
dirty-55.csv,0.58,0.28,0.33878787878787875,0.6543426359132176
dirty-60.csv,0.46,0.22,0.29602870813397125,0.6979688195643176
dirty-65.csv,0.58,0.18,0.2438095238095238,0.7512468343295734
dirty-70.csv,0.05333333333333333,0.02,0.02909090909090909,0.9703192245506878
dirty-75.csv,0.0,0.0,0.0,1.0
dirty-80.csv,0.18,0.02,0.036000000000000004,0.963270040381476
dirty-85.csv,0.14,0.08,0.10181818181818182,0.8961172859274071
dirty-90.csv,0.0,0.0,0.0,1.0
dirty-95.csv,0.0,0.0,0.0,1.0
dirty-mode-5.csv,0.9814285714285714,0.98,0.9797821350762527,0.0003511595471690134
dirty-mode-10.csv,0.9301298701298701,0.92,0.9198539682539684,0.061494469197020896
dirty-mode-15.csv,0.8808333333333332,0.78,0.7826074646074646,0.20152387299478983
dirty-mode-20.csv,0.8722326203208556,0.84,0.8352380952380953,0.1478260691681088
dirty-mode-25.csv,0.8476851851851852,0.7,0.6614886877828055,0.32509853360075486
dirty-mode-30.csv,0.6619117647058823,0.56,0.4878297872340426,0.5022786559494583
dirty-mode-35.csv,0.7928571428571428,0.62,0.5608370494240059,0.42779105061344874
dirty-mode-40.csv,0.6666666666666665,0.48,0.39714285714285713,0.5948044137321566
dirty-mode-45.csv,0.3724390243902439,0.42,0.3291851851851852,0.6641400400314396
dirty-mode-50.csv,0.3825714285714286,0.5,0.3965418353576248,0.5954176222294189
dirty-mode-55.csv,0.5551111111111111,0.36,0.27877394636015324,0.7155734502081949
dirty-mode-60.csv,0.4627906976744186,0.28,0.2394105263157895,0.7557350287825414
dirty-mode-65.csv,0.0676,0.26,0.10730158730158729,0.8905226953169217
dirty-mode-70.csv,0.2489795918367347,0.28,0.14503225806451614,0.8520269727196383
dirty-mode-75.csv,0.0676,0.26,0.10730158730158729,0.8905226953169217
dirty-mode-80.csv,0.0676,0.26,0.10730158730158729,0.8905226953169217
dirty-mode-85.csv,0.019600000000000003,0.14,0.0343859649122807,0.9649168027035541
dirty-mode-90.csv,0.0676,0.26,0.10730158730158729,0.8905226953169217
dirty-mode-95.csv,0.019600000000000003,0.14,0.0343859649122807,0.9649168027035541
dirty-knn-5.csv,0.96,0.96,0.96,0.020534410172695337
dirty-knn-10.csv,0.982,0.98,0.9801263157894737,0.0
dirty-knn-15.csv,0.96,0.96,0.96,0.020534410172695337
dirty-knn-20.csv,0.9440000000000001,0.94,0.941178947368421,0.039737090815362246
dirty-knn-25.csv,0.9814285714285714,0.98,0.9797821350762527,0.0003511595471690134
dirty-knn-30.csv,0.96,0.96,0.96,0.020534410172695337
dirty-knn-35.csv,0.9446153846153845,0.92,0.923939393939394,0.05732620474007195
dirty-knn-40.csv,0.96,0.96,0.96,0.020534410172695337
dirty-knn-45.csv,0.9653333333333333,0.96,0.9589285714285714,0.021627563732770493
dirty-knn-50.csv,0.982,0.98,0.9801263157894737,0.0
dirty-knn-55.csv,0.9497727272727272,0.94,0.9412,0.03971561130681331
dirty-knn-60.csv,0.95125,0.94,0.9371034482758621,0.04389522740133499
dirty-knn-65.csv,0.9097727272727273,0.9,0.9006666666666666,0.08107082509952182
dirty-knn-70.csv,0.9639285714285714,0.96,0.9597821350762527,0.020756692668571212
dirty-knn-75.csv,0.6161363636363637,0.72,0.6445161290322581,0.3424152390877168
dirty-knn-80.csv,0.6025252525252526,0.7,0.6241589861751152,0.363185156729144
dirty-knn-85.csv,0.4308571428571428,0.4,0.3137777777777778,0.6798598581397791
dirty-knn-90.csv,0.29546405228758166,0.48,0.3625400406045567,0.6301088596804614
dirty-knn-95.csv,0.2132263814616756,0.38,0.257,0.7377888993899819
dirty-hdi-5.csv,0.9672727272727272,0.96,0.9612,0.01931007818541111
dirty-hdi-10.csv,0.982,0.98,0.9801263157894737,0.0
dirty-hdi-15.csv,0.9672727272727272,0.96,0.9603333333333333,0.020194317954005336
dirty-hdi-20.csv,0.9440000000000001,0.94,0.941178947368421,0.039737090815362246
dirty-hdi-25.csv,0.955,0.94,0.9422190476190476,0.038675900809675236
dirty-hdi-30.csv,0.96,0.96,0.96,0.020534410172695337
