file,MSE_Trend,RMSE_Trend,MAE_Trend,Corr_Trend,Max_Abs_Error_Trend,MSE_Seasonal,RMSE_Seasonal,MAE_Seasonal,Corr_Seasonal,Max_Abs_Error_Seasonal,MSE_Residuals,RMSE_Residuals,MAE_Residuals,Corr_Residuals,Max_Abs_Error_Residuals
clean,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
dirty-mean-5.csv,3137.6155624416033,56.01442280735921,24.792561353991488,0.9965117013641093,205.5172101449275,1575.6065965188493,39.693911328046894,27.072840247858313,0.9965649622706605,113.70312805706511,23446.96059687223,153.12400398654756,59.70908697466272,0.9934193797289205,1611.0861110733695
dirty-mean-10.csv,21188.772946679033,145.56363882054828,101.41452967231851,0.9685399317090173,374.67672413793116,5184.86560098074,72.0060108670154,52.72967992882473,0.9890016778384985,159.6098859055715,228431.18030041573,477.94474607470653,215.11323485276955,0.9338662229395627,3460.1935298032404
dirty-mean-15.csv,27708.549105973943,166.4588510893126,133.81445235504225,0.9635450212271252,358.7745858585863,20277.7247873458,142.39987636000882,120.19975399048413,0.955594507573146,246.82118875911902,305342.9011703287,552.5784117845437,292.25653843838563,0.9110907851217988,3708.296488296156
dirty-mean-20.csv,56314.184736619616,237.30609924024208,177.5487914661675,0.9232881207443787,591.8083467741935,26258.314322833434,162.04417398608763,135.61684031756056,0.9494682773859195,279.9678374682645,498741.40092554205,706.2162564863131,411.84054612922387,0.8494221261579343,3246.019603907183
dirty-mean-25.csv,58099.74319960989,241.03888316952077,183.1896758588936,0.9376588890837975,591.6158965517243,52575.11430478397,229.29263901133845,187.3361148591507,0.8926252669221154,401.93930344827595,384869.8712091237,620.3788126694235,419.3011950276245,0.8859143769907143,2624.101123563218
dirty-mean-30.csv,116174.32793439801,340.84355345876503,245.123563265085,0.8450313701591405,979.8964460784314,27408.121444969183,165.5539834765965,143.62945139210777,0.9453218367436944,297.4339291343274,526016.60603064,725.2700228402108,456.5506330021256,0.8416325099431902,3929.3502435746873
dirty-mean-35.csv,159068.7008970238,398.8341771927574,294.54997895290717,0.8045000564012773,1377.0237500000003,21628.790610148277,147.0672995949415,124.3304833324981,0.971343447753266,295.992849103009,757337.1996483804,870.2512278924864,554.2649249138799,0.7609325762424161,3990.3283612144514
dirty-mean-40.csv,76300.32422064818,276.2251332168168,217.32125277830693,0.9133107333221928,790.439109195402,51760.235379044716,227.5087589062116,166.04462800314354,0.8990670307737103,416.6467513320163,693172.1562924468,832.5696104785754,559.1754458037476,0.785325471402169,3673.2593020085014
dirty-mean-45.csv,101583.29531700158,318.72134430722014,245.89883377652714,0.8587778853576676,756.9497313084107,83157.19563509579,288.3698937737707,234.3192523587477,0.8263864474857165,672.5312485086209,806381.071479631,897.9872334725205,598.334065760359,0.7430206497436215,4397.83963856303
dirty-mean-50.csv,108221.6129044077,328.97053500945594,267.09849535323036,0.8465852168195056,904.0496993127149,216186.1609345919,464.9582356885314,359.4867046027874,0.24876321841222068,1213.954378596017,1007541.2967337883,1003.7635661518046,683.2841041734818,0.6604524574627499,6117.00826315656
dirty-mean-55.csv,120035.32665165751,346.4611473912443,280.2334457356957,0.8216150967954126,884.8568247126432,142428.60529038153,377.39714531297335,251.73618396845464,0.6433508068319238,980.5543389158283,1279466.0993729383,1131.1348723175934,755.0866104267053,0.5383315517625112,6326.832054762332
dirty-mean-60.csv,137737.52863055994,371.13006969330837,283.6740646987297,0.7955005471698114,1070.3700641025644,66680.01013355021,258.22472796684326,211.14728480450714,0.8532708863342967,475.16015684725176,907426.1662874945,952.5891907257264,694.4151926188305,0.7034489372028127,3251.964238043833
dirty-mean-65.csv,302445.94904986775,549.9508605774408,430.20065546798816,0.4299258389963449,1289.0179963235291,94756.85273808129,307.82601049632126,251.56939059335082,0.8542100875193163,599.1543270846098,1121155.9808967037,1058.846533212771,775.4137364596238,0.6122407945234029,4021.4573796147365
dirty-mean-70.csv,194010.02253358852,440.46568825912937,343.4393784530387,0.7640650772742194,1094.1220833333336,167482.1703362982,409.24585561285556,292.6882399195364,0.5226141804008739,1163.5052580295137,1398969.379223004,1182.7803596708072,837.2471915872949,0.47020812171582926,6270.4259919704855
dirty-mean-75.csv,251766.81181620297,501.7637011743705,387.6431475269666,0.5297752240090876,1271.7329761904757,161841.9523664746,402.2958517887981,338.4326238495529,0.5602933524844959,762.7982775917658,1168317.9912382094,1080.887594173515,810.8070774504931,0.5885628008503094,3709.8983176463294
dirty-mean-80.csv,265290.5886692431,515.0636743833165,397.37808164518117,0.5142794075540754,1160.5668376068375,191883.14112112363,438.0446793662989,295.15619739497225,0.4181857103767162,1252.5773873382595,1591158.15990683,1261.4111779696698,908.9374674693343,0.3318362688651451,6285.160839157466
dirty-mean-85.csv,461755.18952195725,679.5257092428197,542.6148137740522,0.5418223806269884,2001.8081465517243,174278.80145033522,417.4671261911951,318.95089271495624,0.545574821227247,1049.1714389317926,1579611.405715944,1256.825924985614,916.1872342183615,0.34364372646115243,6434.578589803839
dirty-mean-90.csv,316909.9653283403,562.9475688981527,404.105336325967,0.3663686691233581,1654.3543125000003,221302.6189729399,470.4281230676371,341.0596591154832,0.1941713183243835,1241.899557378472,1631211.6228178754,1277.1889534512406,935.9297436871736,0.29323752849058354,6421.679609288194
dirty-mean-95.csv,357442.42488447385,597.8648884860808,461.97934323204436,-0.20664082331351083,1425.409666666667,227694.2371750856,477.17317315109574,346.8825998736149,0.149940826650306,1225.843199392361,1773702.8103242025,1331.8043438599389,993.3307359811422,0.07701395802576239,6437.735967274305
dirty-median-5.csv,1517.347862236947,38.95314958045045,18.514160911602215,0.997930979924084,127.88333333333344,1282.6479654142145,35.81407496242524,21.925558541276832,0.9972885585325686,100.1845901331019,16603.31975972624,128.85386978948765,51.980203371988175,0.9953458600747555,1197.6183265335649
