File Name,MSE,MAE
clean.csv,48161111.55859952,5447.266928175355
dirty-10.csv,48189777.186720125,5449.348068288844
dirty-30.csv,48220744.817785226,5452.429683058532
dirty-50.csv,48286566.333391964,5458.252568914024
dirty-70.csv,48373635.31547533,5464.193946217096
dirty-90.csv,48494873.73915823,5474.047495806578
dirty-mean-10.csv,48160869.48266785,5447.257816596161
dirty-mean-30.csv,48161052.97352354,5447.228603205143
dirty-mean-50.csv,48159594.68169857,5447.044572431057
dirty-mean-70.csv,48159585.7172256,5447.047360311003
dirty-mean-90.csv,48160696.875505164,5447.088965718213
dirty-median-10.csv,48161319.98993649,5447.294116363011
dirty-median-30.csv,48162152.63582836,5447.323819590418
dirty-median-50.csv,48160850.91218114,5447.155368178496
dirty-median-70.csv,48163039.08040394,5447.3442767630095
dirty-median-90.csv,48161235.75567744,5447.136554314244
dirty-knn-10.csv,48161123.58447352,5447.266157756049
dirty-knn-30.csv,48160961.039934866,5447.257862696321
dirty-knn-50.csv,48161055.99858573,5447.260869192737
dirty-knn-70.csv,48161188.62917967,5447.273562560992
dirty-knn-90.csv,48161351.362389654,5447.290544761009
dirty-hdi-10.csv,48161070.553435974,5447.261350277221
dirty-hdi-30.csv,48161018.9717381,5447.263384020885
dirty-hdi-50.csv,48161078.301332,5447.262633505484
dirty-hdi-70.csv,48161225.64344683,5447.274750526198
dirty-hdi-90.csv,48160980.6458155,5447.256708424443
dirty-mice-10.csv,48161132.447826765,5447.2672090413
dirty-mice-30.csv,48161151.33339857,5447.27526526832
dirty-mice-50.csv,48161208.2391733,5447.273754344642
dirty-mice-70.csv,48161358.339347765,5447.285118340456
dirty-mice-90.csv,48162059.26873084,5447.359433990927
dirty-iim-10.csv,48161072.941129714,5447.261630502385
dirty-iim-30.csv,48161888.91559284,5447.579746524216
dirty-iim-50.csv,48161129.30158674,5447.266361636826
dirty-iim-70.csv,48161494.23595872,5447.294128523064
dirty-iim-90.csv,48167150.33759947,5447.5940252608825
dirty-si-10.csv,48161096.38177971,5447.2642120709925
dirty-si-30.csv,48161019.90988149,5447.262499102247
dirty-si-50.csv,48161044.217634544,5447.259070532089
dirty-si-70.csv,48161056.873256996,5447.261969896353
dirty-si-90.csv,48160935.037358716,5447.254826341942
dirty-mfi-10.csv,48165408.08513238,5447.649063140199
dirty-mfi-30.csv,48175288.68146859,5448.470128882383
dirty-mfi-50.csv,48191943.75325818,5449.96486314782
dirty-mfi-70.csv,48221798.78218001,5452.310003207428
dirty-mfi-90.csv,48369274.153963916,5464.953097289798
dirty-rf-10.csv,48161072.97321356,5447.261741402631
dirty-rf-30.csv,48160990.017488405,5447.260493091606
dirty-rf-50.csv,48161098.37941458,5447.264033306478
dirty-rf-70.csv,48161213.66754853,5447.273737988161
dirty-rf-90.csv,48161014.84551858,5447.259246448439
dirty-xgbi-10.csv,48161109.83320499,5447.265137620918
dirty-xgbi-30.csv,48161154.278539926,5447.275229043955
dirty-xgbi-50.csv,48161167.01873135,5447.269358507886
dirty-xgbi-70.csv,48161358.73284599,5447.284519905074
dirty-xgbi-90.csv,48161442.32229954,5447.301268110231
dirty-gain-10.csv,48161648.312101595,5447.319629678474
dirty-gain-30.csv,48163967.128763296,5447.477438083093
dirty-gain-50.csv,48166703.01278849,5447.656632267358
dirty-gain-70.csv,48164692.825876944,5447.454777257109
dirty-gain-90.csv,48169622.98999876,5447.792385668893
dirty-midae-10.csv,48162034.8888529,5447.344838982699
dirty-midae-30.csv,48163483.126400344,5447.447861451386
dirty-midae-50.csv,48161677.59952938,5447.237037937911
dirty-midae-70.csv,48162976.84725809,5447.350717253904
dirty-midae-90.csv,48161378.48497231,5447.151644265607
