file,Mutual_Information_target
dirty-mean-5.csv,4.240447559746237
dirty-mean-10.csv,4.077963724656266
dirty-mean-15.csv,3.778315306451872
dirty-mean-20.csv,3.543563415589695
dirty-mean-25.csv,3.305180161194915
dirty-mean-30.csv,2.996878445623255
dirty-mean-35.csv,2.8552084910271445
dirty-mean-40.csv,2.5279588920862217
dirty-mean-45.csv,2.351719514265913
dirty-mean-50.csv,2.0644694146626845
dirty-mean-55.csv,1.8319589698626308
dirty-mean-60.csv,1.606801763845053
dirty-mean-65.csv,1.3447104631962041
dirty-mean-70.csv,1.105269935812502
dirty-mean-75.csv,0.8291165411304462
dirty-mean-80.csv,0.6331679240793298
dirty-mean-85.csv,0.402605811619134
dirty-mean-90.csv,0.21410105864764617
dirty-mean-95.csv,0.08990193957913561
dirty-median-5.csv,4.236710040850719
dirty-median-10.csv,4.072189741806227
dirty-median-15.csv,3.7707989366321195
dirty-median-20.csv,3.5159794306312926
dirty-median-25.csv,3.3071584299921937
dirty-median-30.csv,2.973092763073483
dirty-median-35.csv,2.8213572029711402
dirty-median-40.csv,2.5311313856353337
dirty-median-45.csv,2.3545466383519322
dirty-median-50.csv,2.0586978010385555
dirty-median-55.csv,1.8239467730492605
dirty-median-60.csv,1.588920296209849
dirty-median-65.csv,1.344442769298122
dirty-median-70.csv,1.0706266929485846
dirty-median-75.csv,0.8224320726035135
dirty-median-80.csv,0.6294513042291365
dirty-median-85.csv,0.40195316956615734
dirty-median-90.csv,0.2140784871304069
dirty-median-95.csv,0.08492400267040257
dirty-mode-5.csv,4.209260710078359
dirty-mode-10.csv,4.035865909820444
dirty-mode-15.csv,3.737770716922123
dirty-mode-20.csv,3.4986473740702433
dirty-mode-25.csv,3.250183470217569
dirty-mode-30.csv,2.9508098522660053
dirty-mode-35.csv,2.806492691479241
dirty-mode-40.csv,2.500701534371065
dirty-mode-45.csv,2.306022236931807
dirty-mode-50.csv,2.0226719574375376
dirty-mode-55.csv,1.803680868703871
dirty-mode-60.csv,1.584111644158971
dirty-mode-65.csv,1.332251187528211
dirty-mode-70.csv,1.0800624788955089
dirty-mode-75.csv,0.8105010081679378
dirty-mode-80.csv,0.5886672313343313
dirty-mode-85.csv,0.405620109969993
dirty-mode-90.csv,0.19490322148542472
dirty-mode-95.csv,0.1167485530753698
dirty-knn-5.csv,4.2308157119515295
dirty-knn-10.csv,4.0056347134035235
dirty-knn-15.csv,3.7851974700420254
dirty-knn-20.csv,3.5117336899183993
dirty-knn-25.csv,3.289837999143301
dirty-knn-30.csv,2.9747079911689878
dirty-knn-35.csv,2.8291806830438366
dirty-knn-40.csv,2.679824961692666
dirty-knn-45.csv,2.4409279819164253
dirty-knn-50.csv,2.1814227764984198
dirty-knn-55.csv,1.9761695186524215
dirty-knn-60.csv,1.6823219648076564
dirty-knn-65.csv,1.6356040567572498
dirty-knn-70.csv,1.3770237276455872
dirty-knn-75.csv,1.1880999717233598
dirty-knn-80.csv,1.1071367234530824
dirty-knn-85.csv,0.9558190902910852
dirty-knn-90.csv,0.8539582422696772
dirty-knn-95.csv,0.8286653219932543
dirty-hdi-5.csv,4.24533212563667
dirty-hdi-10.csv,3.9562081405663223
dirty-hdi-15.csv,3.703993926724943
dirty-hdi-20.csv,3.3990924941769074
dirty-hdi-25.csv,3.146433016330602
dirty-hdi-30.csv,2.8362534398122023
dirty-hdi-35.csv,2.6443574123455003
dirty-hdi-40.csv,2.358676597701859
dirty-hdi-45.csv,2.155174440473765
dirty-hdi-50.csv,1.9411081144107922
dirty-hdi-55.csv,1.7694903327207592
dirty-hdi-60.csv,1.477596843317722
dirty-hdi-65.csv,1.358767256151629
dirty-hdi-70.csv,1.2029329139754208
dirty-hdi-75.csv,0.9857041773423183
dirty-hdi-80.csv,0.9446113714544904
dirty-hdi-85.csv,0.8876947213598889
dirty-hdi-90.csv,0.8459580594132179
dirty-hdi-95.csv,0.6704622793558515
dirty-mice-5.csv,4.231353654678556
dirty-mice-10.csv,4.0356350149607545
dirty-mice-15.csv,3.775480059585897
dirty-mice-20.csv,3.5775150423176445
dirty-mice-25.csv,3.269525880336384
dirty-mice-30.csv,3.000126794082362
dirty-mice-35.csv,2.8247246933578785
dirty-mice-40.csv,2.5900496929162977
dirty-mice-45.csv,2.3827574214079132
dirty-mice-50.csv,2.3407406352757087
dirty-mice-55.csv,1.9900523556636007
dirty-mice-60.csv,1.830314646467801
dirty-mice-65.csv,1.6112728251011506
dirty-mice-70.csv,1.3899163217683599
dirty-mice-75.csv,1.3228512987913819
dirty-mice-80.csv,1.101560003755615
dirty-mice-85.csv,1.0001626623559674
dirty-mice-90.csv,0.9042214590984572
dirty-mice-95.csv,0.6231809419788945
dirty-iim-5.csv,4.224869808376409
dirty-iim-10.csv,4.010210157296301
dirty-iim-15.csv,3.8016283118115557
dirty-iim-20.csv,3.543742919773088
dirty-iim-25.csv,3.272546166748545
dirty-iim-30.csv,2.991943631375432
dirty-iim-35.csv,2.839439773180105
dirty-iim-40.csv,2.5707984640166424
dirty-iim-45.csv,2.42907180598546
dirty-iim-50.csv,2.175602845829791
dirty-iim-55.csv,2.013212861682753
dirty-iim-60.csv,1.7242077516825849
dirty-iim-65.csv,1.630207231981136
dirty-iim-70.csv,1.4226671836889335
dirty-iim-75.csv,1.2427631036301543
dirty-iim-80.csv,1.0662298369006717
dirty-iim-85.csv,0.8561782745497428
dirty-iim-90.csv,0.7805122066223409
dirty-iim-95.csv,0.7353519577605887
dirty-si-5.csv,4.253155237326715
dirty-si-10.csv,4.074626934322174
dirty-si-15.csv,3.781205953038284
dirty-si-20.csv,3.618893648386177
dirty-si-25.csv,3.396834887221745
dirty-si-30.csv,3.1017739874340173
dirty-si-35.csv,3.0330115535598905
dirty-si-40.csv,2.7533465809220794
dirty-si-45.csv,2.6040539564005023
dirty-si-50.csv,2.3924795401825034
dirty-si-55.csv,2.242218422074075
dirty-si-60.csv,1.9268422407394645
dirty-si-65.csv,1.8478945318781492
dirty-si-70.csv,1.5805093990052739
dirty-si-75.csv,1.4147270419305848
dirty-si-80.csv,1.2095190174590749
dirty-si-85.csv,0.887631243731493
dirty-si-90.csv,0.8483843948206591
dirty-si-95.csv,0.7217862440644902
dirty-mfi-5.csv,4.238505129828277
dirty-mfi-10.csv,3.9906700615718966
dirty-mfi-15.csv,3.684130409526501
dirty-mfi-20.csv,3.4223535748537697
dirty-mfi-25.csv,3.13864926829902
dirty-mfi-30.csv,2.825432917533446
dirty-mfi-35.csv,2.7085076627973783
dirty-mfi-40.csv,2.320951040071791
dirty-mfi-45.csv,2.095530146380572
dirty-mfi-50.csv,1.8062356111196074
dirty-mfi-55.csv,1.6008290131922935
dirty-mfi-60.csv,1.362325106467455
dirty-mfi-65.csv,1.1588705281223222
dirty-mfi-70.csv,0.9071955466281056
dirty-mfi-75.csv,0.6771936272290802
dirty-mfi-80.csv,0.6059809096263109
dirty-mfi-85.csv,0.34972916478396954
dirty-mfi-90.csv,0.26073828232722773
dirty-mfi-95.csv,0.13268690610312417
dirty-missfi-5.csv,4.304859758142956
dirty-missfi-10.csv,4.077389232534279
dirty-missfi-15.csv,3.822373285622004
dirty-missfi-20.csv,3.604630334915625
dirty-missfi-25.csv,3.349755147880889
dirty-missfi-30.csv,3.0314600086421635
dirty-missfi-35.csv,2.8602336021227073
dirty-missfi-40.csv,2.6106435145069065
dirty-missfi-45.csv,2.41692619218204
dirty-missfi-50.csv,2.251876316409702
dirty-missfi-55.csv,2.08118448140515
dirty-missfi-60.csv,1.8279854478400912
dirty-missfi-65.csv,1.6137751560056408
dirty-missfi-70.csv,1.3956190369319148
dirty-missfi-75.csv,1.232165058586928
dirty-missfi-80.csv,1.1713985666761961
dirty-missfi-85.csv,0.8936407395229686
dirty-missfi-90.csv,0.8612893040453611
dirty-missfi-95.csv,0.8261275929397982
dirty-xgbi-5.csv,4.236737004889379
dirty-xgbi-10.csv,4.019710024497929
dirty-xgbi-15.csv,3.8041192355301634
dirty-xgbi-20.csv,3.5379858355947116
dirty-xgbi-25.csv,3.364488634880521
dirty-xgbi-30.csv,2.9950416824466375
dirty-xgbi-35.csv,2.767775181167882
dirty-xgbi-40.csv,2.6094993769938037
dirty-xgbi-45.csv,2.3928954659130337
dirty-xgbi-50.csv,2.2334039465117823
dirty-xgbi-55.csv,2.0297362817438787
dirty-xgbi-60.csv,1.7647902971371252
dirty-xgbi-65.csv,1.5796892122668997
dirty-xgbi-70.csv,1.3809720261127394
dirty-xgbi-75.csv,1.1706166295893823
dirty-xgbi-80.csv,1.0370837753228481
dirty-xgbi-85.csv,0.8637436946840973
dirty-xgbi-90.csv,0.7667950011612166
dirty-xgbi-95.csv,0.6733552744381086
dirty-gain-5.csv,4.251900967359865
dirty-gain-10.csv,3.8940606545229643
dirty-gain-15.csv,3.598912043357188
dirty-gain-20.csv,3.339009587306148
dirty-gain-25.csv,3.067069328878897
dirty-gain-30.csv,2.773598802516522
dirty-gain-35.csv,2.503958849057452
dirty-gain-40.csv,2.240584707919951
dirty-gain-45.csv,1.9809492998841307
dirty-gain-50.csv,1.764805653406401
dirty-gain-55.csv,1.550700391286667
dirty-gain-60.csv,1.2275670702803136
dirty-gain-65.csv,1.00533691688603
dirty-gain-70.csv,0.9442790046662415
dirty-gain-75.csv,0.7391144651785373
dirty-gain-80.csv,0.5895062664958557
dirty-gain-85.csv,0.3416310599195018
dirty-gain-90.csv,0.2628604009862756
dirty-gain-95.csv,0.04338749339103121
dirty-midae-5.csv,4.264816069529228
dirty-midae-10.csv,4.039562673248557
dirty-midae-15.csv,3.7527551814384426
dirty-midae-20.csv,3.5590985814514946
dirty-midae-25.csv,3.2835711320439773
dirty-midae-30.csv,3.025161880015556
dirty-midae-35.csv,2.9326237314601924
dirty-midae-40.csv,2.6184022434840166
dirty-midae-45.csv,2.5544285852436124
dirty-midae-50.csv,2.2515944074260914
dirty-midae-55.csv,2.063598124599551
dirty-midae-60.csv,1.722415874169696
dirty-midae-65.csv,1.6803772116594389
dirty-midae-70.csv,1.3960737439489441
dirty-midae-75.csv,1.238064925606781
dirty-midae-80.csv,1.0789251276112397
dirty-midae-85.csv,0.8418179973674516
dirty-midae-90.csv,0.577700885443063
dirty-midae-95.csv,0.3221030186277414
