file,Mutual_Information_target
dirty-mean-5.csv,3.3501573936254943
dirty-mean-10.csv,3.0543393611280196
dirty-mean-15.csv,2.8933059672972954
dirty-mean-20.csv,2.6514594539440948
dirty-mean-25.csv,2.4088511373557724
dirty-mean-30.csv,2.195283399930874
dirty-mean-35.csv,2.102604009664257
dirty-mean-40.csv,1.9597337073284966
dirty-mean-45.csv,1.649206985258218
dirty-mean-50.csv,1.3965384905369613
dirty-mean-55.csv,1.1606454631781968
dirty-mean-60.csv,0.9255368602807592
dirty-mean-65.csv,0.7698553773531773
dirty-mean-70.csv,0.5877834160344575
dirty-mean-75.csv,0.3974277944287907
dirty-mean-80.csv,0.2517018642499984
dirty-mean-85.csv,0.13082211602540106
dirty-mean-90.csv,0.052303211817633866
dirty-mean-95.csv,0.026360516687065072
dirty-median-5.csv,3.337789898482789
dirty-median-10.csv,3.050132272874798
dirty-median-15.csv,2.8256486540606636
dirty-median-20.csv,2.6761903304671195
dirty-median-25.csv,2.4229515853004253
dirty-median-30.csv,2.1727796027371498
dirty-median-35.csv,2.037705852501813
dirty-median-40.csv,1.9345889027014556
dirty-median-45.csv,1.5267219756230186
dirty-median-50.csv,1.3561451139970062
dirty-median-55.csv,1.135433266068088
dirty-median-60.csv,0.9367660072680914
dirty-median-65.csv,0.7393171191122909
dirty-median-70.csv,0.5591572363522261
dirty-median-75.csv,0.39167715657181423
dirty-median-80.csv,0.27560987800461145
dirty-median-85.csv,0.1328195556958569
dirty-median-90.csv,0.03531659264363807
dirty-median-95.csv,0.026893019749102187
dirty-mode-5.csv,3.318902321408166
dirty-mode-10.csv,3.0803076814032733
dirty-mode-15.csv,2.803433205743284
dirty-mode-20.csv,2.656760028444669
dirty-mode-25.csv,2.373213932427177
dirty-mode-30.csv,1.9301713781991565
dirty-mode-35.csv,2.007767233105378
dirty-mode-40.csv,1.8789316590096186
dirty-mode-45.csv,1.5198041695731423
dirty-mode-50.csv,1.1708857335974834
dirty-mode-55.csv,1.1886261119384818
dirty-mode-60.csv,1.0391411187695243
dirty-mode-65.csv,0.7024418499437273
dirty-mode-70.csv,0.7551478908304223
dirty-mode-75.csv,0.4007751923371936
dirty-mode-80.csv,0.32276245308433005
