CR_Target,J_Target,CR_Actual,J_Actual
0.1,0,0.096,0.03687086661586763
0.1,0,0.104,0.03723435715483501
0.1,0,0.096,0.03987152875153206
0.1,0,0.096,0.042550270723797454
0.1,0,0.104,0.04666928181653769
0.1,0,0.096,0.04285767082311129
0.1,0,0.096,0.03968217515034714
0.1,0,0.096,0.04527657817623398
0.1,0,0.096,0.03996364984214873
0.1,0,0.096,0.04909434045327091
0.1,0.2972687333195715,0.104,0.2972687333195715
0.2,0,0.2,0.04863361803451797
0.2,0,0.2,0.03595642809683195
0.2,0,0.2,0.034822053477373216
0.2,0,0.2,0.04300697788069548
0.2,0,0.2,0.03519548516731348
0.2,0,0.2,0.04503037454387891
0.2,0,0.2,0.04927238177774609
0.2,0,0.2,0.048053628494753975
0.2,0,0.2,0.045335794629554095
0.2,0,0.2,0.03599715123578628
0.2,0,0.2,0.03965700271747803
0.2,0,0.2,0.03650501741296447
0.2,0,0.2,0.041023815250301625
0.2,0,0.2,0.04796806080471806
0.2,0,0.2,0.043325514067088025
0.2,0,0.2,0.04319738097038102
0.2,0,0.2,0.04424099199678729
0.2,0.04927238177774609,0.2,0.04927238177774609
0.30000000000000004,0,0.296,0.048398390050273875
0.30000000000000004,0,0.296,0.04735801577137589
0.30000000000000004,0,0.296,0.04870526642911808
0.30000000000000004,0,0.296,0.0457369551258831
0.30000000000000004,0,0.296,0.0397302367205142
0.30000000000000004,0,0.296,0.04411721042098703
0.30000000000000004,0,0.296,0.04741194929563875
0.30000000000000004,0,0.296,0.049598320561284215
0.30000000000000004,0,0.296,0.04972587503144349
0.30000000000000004,0,0.296,0.04667148115485465
0.30000000000000004,0.40454036900487894,0.304,0.40454036900487894
0.4,0,0.4,0.04022761673972907
0.4,0,0.4,0.04404219718871689
0.4,0,0.4,0.04713361638708391
0.4,0,0.4,0.04719889323899149
0.4,0,0.4,0.046082654139941275
0.4,0,0.4,0.06170381152915913
0.4,0,0.4,0.04498174704825382
0.4,0,0.4,0.042950953916450645
0.4,0,0.4,0.07314527296610719
0.4,0,0.4,0.04815816306686489
0.4,0.5999428329525407,0.4,0.5999428329525407
0.5,0,0.496,0.08094136498774505
0.5,0,0.496,0.0468204131178162
0.5,0,0.496,0.11227800970993597
0.5,0,0.496,0.06499697851569311
0.5,0,0.496,0.04604827225744096
0.5,0,0.496,0.12175588158771485
0.5,0,0.496,0.04259011823805926
0.5,0,0.496,0.045550554984700675
0.5,0,0.496,0.044939993752405684
0.5,0,0.496,0.04994894564092974
0.5,0.8936246085048386,0.504,0.8936246085048386
0.6,0,0.6,0.04816187722366292
0.6,0,0.6,0.049967427415549506
0.6,0,0.6,0.07770885475784894
0.6,0,0.6,0.0726374684347876
0.6,0,0.6,0.049540300485477584
0.6,0,0.6,0.04939472795547
0.6,0,0.6,0.13319009285664066
0.6,0,0.6,0.04822824441592082
0.6,0,0.6,0.07976678278334424
0.6,0,0.6,0.0933145667838779
0.6,1.1521727070326944,0.6,1.1521727070326944
0.7000000000000001,0,0.696,0.325326194915773
0.7000000000000001,0,0.696,0.14903115058962302
0.7000000000000001,0,0.696,0.25431951363894667
0.7000000000000001,0,0.696,0.15357082973683414
0.7000000000000001,0,0.696,0.18733815876704688
0.7000000000000001,0,0.696,0.27672951607418944
0.7000000000000001,0,0.696,0.1881569900468956
0.7000000000000001,0,0.696,0.36499194507975763
0.7000000000000001,0,0.696,0.21341344175446206
0.7000000000000001,0,0.696,0.19868106827168439
0.7000000000000001,1.0715754486623679,0.704,1.0715754486623679
0.8,0,0.8,0.5296317345559332
0.8,0,0.8,0.5489542070404698
0.8,0,0.8,0.5507389838082317
0.8,0,0.8,0.518853018030767
0.8,0,0.8,0.46942568979824995
0.8,0,0.8,0.4662823867849702
0.8,0,0.8,0.5635132353260336
0.8,0,0.8,0.4775522288749726
0.8,0,0.8,0.5920969503897531
0.8,0,0.8,0.5368813878565118
0.8,1.6176264356947538,0.8,1.6176264356947538
0.9,0,0.896,0.8507519105031534
0.9,0,0.896,0.8405158421420316
0.9,0,0.896,0.6333549275791961
0.9,0,0.896,0.7879603434491461
0.9,0,0.896,0.8188104798071638
0.9,0,0.896,0.7629829693019119
0.9,0,0.896,0.7661324675092698
0.9,0,0.896,0.8615313515847443
0.9,0,0.896,0.9172250302214949
0.9,0,0.896,0.7448426244897824
0.9,2.4970332192647944,0.904,2.4970332192647944
