File Name,Within-Class Distance,Between-Class Distance,J Value
dirty-City-mode-10.csv,6345.126597726894,6273.185402273107,0.9886619763458211
dirty-City-mode-30.csv,8430.532382974212,4187.779617025788,0.4967396395372577
dirty-City-mode-50.csv,10599.937942222476,2018.3740577775159,0.19041376173890373
dirty-City-mode-70.csv,11769.022472476605,849.2895275233262,0.0721631324529714
dirty-City-mode-90.csv,12521.497065459316,96.81493454073411,0.00773189771435551
dirty-City-knn-10.csv,5707.335249629523,6910.976750370477,1.210893779337579
dirty-City-knn-30.csv,5748.834741364776,6869.477258635226,1.1949338548918538
dirty-City-knn-50.csv,5762.52924305547,6855.78275694453,1.1897176513605652
dirty-City-knn-70.csv,7233.893384279961,5384.418615720039,0.7443320394272008
dirty-City-knn-90.csv,11813.005953601898,805.3060463981097,0.06817113692832469
dirty-City-mice-10.csv,6456.006183245136,6162.305816754865,0.9545074217474431
dirty-City-mice-30.csv,8496.493783429472,4121.8182165705275,0.48511990023569723
dirty-City-mice-50.csv,10345.719118461931,2272.5928815380703,0.21966504749608262
dirty-City-mice-70.csv,11056.451799943541,1561.8602000564576,0.14126233517921483
dirty-City-mice-90.csv,11328.139861092875,1290.1721389071229,0.1138909083686626
dirty-City-iim-10.csv,5707.335249629523,6910.976750370477,1.210893779337579
dirty-City-iim-30.csv,5875.533967116043,6742.778032883959,1.1476025958868885
dirty-City-iim-50.csv,5750.637556417803,6867.674443582198,1.1942457468768422
dirty-City-iim-70.csv,9842.661682157977,2775.6503178420226,0.2820020038759951
dirty-City-iim-90.csv,9648.295730929665,2970.01626907033,0.30782807159914377
dirty-City-si-10.csv,6286.1079473378295,6332.204052662171,1.007333012049827
dirty-City-si-30.csv,7968.530158191199,4649.7818418087945,0.5835181331439251
dirty-City-si-50.csv,9117.115077872368,3501.1969221276204,0.38402464948864984
dirty-City-si-70.csv,11242.690815664184,1375.6211843358165,0.12235693455335399
dirty-City-si-90.csv,11401.464291323084,1216.847708676943,0.10672731831498232
dirty-City-randomforest-10.csv,5717.507141585529,6900.804858414473,1.2069604265506526
dirty-City-randomforest-30.csv,5826.58962912917,6791.722370870831,1.1656428207877594
dirty-City-randomforest-50.csv,6424.177387739688,6194.134612260313,0.9641910922449926
dirty-City-randomforest-70.csv,10496.50272150695,2121.8092784930504,0.202144403215896
dirty-City-randomforest-90.csv,12004.711614155582,613.6003858444199,0.05111329664270164
dirty-City-xgboost-10.csv,6300.48336441387,6317.82863558613,1.0027530064233212
dirty-City-xgboost-30.csv,8313.328988008383,4304.983011991619,0.517841049981466
dirty-City-xgboost-50.csv,10389.023752834952,2229.2882471650564,0.2145811098522832
dirty-City-xgboost-70.csv,11762.8126166468,855.4993833532023,0.07272915171176787
dirty-City-xgboost-90.csv,12054.380038791456,563.931961208537,0.0467823280329459
clean.csv,5707.335249629523,6910.976750370477,1.210893779337579
