File Name,RMSE,MAE,PG(RMSE),PG(MAE)
clean.csv,0.6501942990053211,0.4631609265617107,0.0,0.0
dirty-5.csv,1.3511626176473588,1.0594633992560956,1.0780905334211506,1.2874628201499088
dirty-10.csv,1.6645823480445046,1.3191169802425424,1.560130641857384,1.8480748366125088
dirty-15.csv,2.1407881238929276,1.7429514826770585,2.292535980656772,2.763166067604001
dirty-20.csv,2.353940879952078,1.9427446091446687,2.620365302422951,3.1945347669258126
dirty-25.csv,2.5508265379698014,2.1035522575034236,2.9231757981761786,3.5417308258691165
dirty-30.csv,2.759886800534622,2.2815637331389613,3.244710857595562,3.926071268740693
dirty-35.csv,3.08260043023046,2.5210843546258612,3.741044999850471,4.443214679919587
dirty-40.csv,3.441898982544047,2.7801275463618245,4.29364681881943,5.002508819127266
dirty-45.csv,3.759442981026575,3.001723499595263,4.782030058980582,5.4809514953660905
dirty-50.csv,3.964098700755315,3.1897163190605218,5.096790923604935,5.886842425891748
dirty-55.csv,4.145426791489516,3.3146800853250675,5.375673852925602,6.15664879145073
dirty-60.csv,4.64484890209385,3.7504835722548235,6.143785956289717,7.097581978895873
dirty-65.csv,4.8059915346109445,3.91289995209869,6.391623614607567,7.448251412627188
dirty-70.csv,5.234154047955723,4.302124772232975,7.050138329362509,8.288617682346242
dirty-75.csv,5.486483039684534,4.544676786509369,7.438220771972092,8.812306103295274
dirty-80.csv,5.853165296289454,4.87144246502852,8.00217874140658,9.51781829091634
dirty-85.csv,6.227740582770812,5.282431734257586,8.578276204971532,10.405175677214139
dirty-90.csv,6.679967436282385,5.744507928683615,9.273801918136654,11.402833657252017
dirty-95.csv,7.140828599815406,6.234152675889781,9.982607215627043,12.460014259340062
dirty-mean-5.csv,1.327322163398834,0.8090515711826042,1.0414238719554987,0.7468044577694047
dirty-mean-10.csv,1.690508483879622,1.1765155243733159,1.600005085350321,1.5401873450491923
dirty-mean-15.csv,1.9196639495121042,1.394107218517414,1.9524466031905239,2.0099845184839134
dirty-mean-20.csv,2.5083325530456557,1.9067917489501085,2.857819973018754,3.1169097814559517
dirty-mean-25.csv,2.8187661647495323,2.2132140776621156,3.335267425539922,3.7784991149663205
dirty-mean-30.csv,3.288169621060353,2.618987365321777,4.057210784669526,4.654594796594587
dirty-mean-35.csv,3.7529285615231096,3.0231409514575724,4.772010870080539,5.527193418278937
dirty-mean-40.csv,4.157623809925479,3.459050626778041,5.3944328891931015,6.468355874612327
dirty-mean-45.csv,4.338128937385727,3.6360420709068966,5.672050099519904,6.850493991147237
dirty-mean-50.csv,4.798384703932092,4.060275546794145,6.379924295357168,7.7664466364546865
