file,RMSE,MSE,MAE
dirty-mean-5.csv,3.681181597199045,13.55109795155691,0.6937924372998007
dirty-mean-10.csv,5.014746470494702,25.14768216333907,1.304586608854118
dirty-mean-15.csv,6.370116104955614,40.57837919061489,2.063786718091946
dirty-mean-20.csv,7.493616066456904,56.15428175146105,2.69164063530964
dirty-mean-25.csv,8.394270448228523,70.4637763580027,3.3823636066767993
dirty-mean-30.csv,8.524132143519996,72.6608288001908,3.8014671639982236
dirty-mean-35.csv,9.95056515550473,99.01374691394487,4.733156470076801
dirty-mean-40.csv,10.423691861758261,108.6533520288854,5.393753416910171
dirty-mean-45.csv,11.538629901491054,133.13998000358347,6.068466807075219
dirty-mean-50.csv,11.667056051088315,136.12019689923645,6.640030276180603
dirty-mean-55.csv,12.396772235091836,153.67996184874383,7.373041011047878
dirty-mean-60.csv,12.789375542952765,163.56812677867833,8.014717126967673
dirty-mean-65.csv,13.767308772861563,189.53879084731096,8.951411074953604
dirty-mean-70.csv,14.090853957668207,198.55216525633378,9.52526904829233
dirty-mean-75.csv,14.606202804390808,213.34116036299392,10.224086099194693
dirty-mean-80.csv,14.836694921377456,220.12751619002756,10.678755961919135
dirty-mean-85.csv,15.140426054689652,229.23250111752526,11.25121190103352
dirty-mean-90.csv,15.751004649816974,248.0941474785559,12.121158827410676
dirty-mean-95.csv,16.42820794408705,269.8860162541649,12.985055638536213
dirty-median-5.csv,3.653953756994254,13.351378058252424,0.6840194174757285
dirty-median-10.csv,4.9851600163234,24.851820388349523,1.2884660194174755
dirty-median-15.csv,6.325807324047331,40.015838300970856,2.037155339805824
dirty-median-20.csv,7.557108002352705,57.109881359223294,2.695165048543691
dirty-median-25.csv,8.447704301238593,71.36370796116502,3.3798252427184488
dirty-median-30.csv,8.484973994616627,71.99478368932046,3.77990291262136
dirty-median-35.csv,9.972707153083611,99.45488796116504,4.720203883495149
dirty-median-40.csv,10.356714397278521,107.26153310679621,5.336359223300974
dirty-median-45.csv,11.784758607493545,138.8805354368932,6.1914854368932
dirty-median-50.csv,11.724311659261504,137.45948388349524,6.6324466019417505
dirty-median-55.csv,12.395010756368283,153.63629165048545,7.371300970873788
dirty-median-60.csv,12.777211086748936,163.25712315533994,7.98616504854369
dirty-median-65.csv,13.766750774718183,189.5234268932037,8.957912621359228
dirty-median-70.csv,14.097675705280725,198.74446029126238,9.50484466019417
dirty-median-75.csv,14.504483669019523,210.38004650485402,10.118106796116491
dirty-median-80.csv,14.906218901577548,222.19536194174776,10.655679611650475
dirty-median-85.csv,15.137192442739952,229.13459504854353,11.245563106796121
dirty-median-90.csv,15.978118371667826,255.3002666990289,12.136689320388356
dirty-median-95.csv,16.440327939764174,270.2843827669905,13.000194174757285
dirty-mode-5.csv,3.648126490844839,13.308826893203879,0.6756990291262137
dirty-mode-10.csv,4.984169600037879,24.841946601941743,1.2713786407766987
dirty-mode-15.csv,6.361682526117349,40.47100456310681,2.002281553398058
dirty-mode-20.csv,7.618062299816372,58.03487320388351,2.7025825242718455
dirty-mode-25.csv,8.506782399715917,72.3653467961165,3.3884077669902934
dirty-mode-30.csv,10.484175407755371,109.91793398058252,4.567689320388354
dirty-mode-35.csv,10.346426196931167,107.04853504854354,4.794067961165047
dirty-mode-40.csv,10.37526410004252,107.6461051456311,5.284300970873788
dirty-mode-45.csv,12.076616561471821,145.84466757281547,6.3725242718446635
