File Name,MSE,MAE,PG(MSE),PG(MAE),,,,,,,,,,
clean.csv,225.5753789,12.00580361,0,0,,,,,,,,,,
dirty-5.csv,388.8757838,15.60466455,0.72392832,0.299760105,,,,,,,,,,
dirty-10.csv,1153.423996,27.79388594,4.113253059,1.315037531,,,,,,,,,,
dirty-15.csv,13461.51596,112.522671,58.67635311,8.372356459,,,,,,,,,,
dirty-20.csv,5617.318904,65.63171247,23.90218096,4.466665506,,,,,,,,,,
dirty-25.csv,16211.32394,120.7410492,70.86654863,9.056890241,,,,,,,,,,
dirty-30.csv,15372.82308,110.2045059,67.14938386,8.179269414,,,,,,,,,,
dirty-35.csv,38505.61625,186.2319658,169.6995526,14.51182843,,,,,,,,,,
dirty-40.csv,46269.44715,203.2961132,204.1174529,15.93315332,,,,,,,,,,
dirty-45.csv,28682.69314,149.5064145,126.1534743,11.45284525,,,,,,,,,,
dirty-50.csv,47337.14983,195.2858545,208.8506941,15.26595444,,,,,,,,,,
dirty-55.csv,71257.8815,252.5593615,314.8938793,20.03643951,,,,,,,,,,
dirty-60.csv,72777.41224,246.6808964,321.630123,19.54680423,,,,,,,,,,
dirty-65.csv,101678.2615,305.8176921,449.7507069,24.47248831,,,,,,,,,,
dirty-70.csv,117400.5065,329.8667267,519.4491161,26.47560575,,,,,,,,,,
dirty-75.csv,110749.8359,316.3013967,489.9659754,25.34570804,,,,,,,,,,
dirty-80.csv,122805.642,326.9781417,543.4106649,26.2350067,,,,,,,,,,
dirty-85.csv,136853.0408,355.7574739,605.6843,28.63212505,,,,,,,,,,
dirty-90.csv,159492.329,389.9424632,706.046708,31.47949707,,,,,,,,,,
dirty-95.csv,178236.2284,418.9355324,789.1404369,33.89441823,,,,,,,,,,
dirty-mean-5.csv,205.7624377,11.30401185,0,0,,,,,,,,,,
dirty-mean-10.csv,237.5794501,12.23475381,0.053215343,0.01906996,,,,,,,,,,
dirty-mean-15.csv,297.0956141,13.93113062,0.317056922,0.160366359,,,,,,,,,,
dirty-mean-20.csv,321.4377425,14.44447472,0.424968204,0.203124355,,,,,,,,,,
dirty-mean-25.csv,314.7021701,14.19922776,0.395108685,0.182696987,,,,,,,,,,
dirty-mean-30.csv,439.701045,17.20870358,0.949242188,0.433365408,,,,,,,,,,
dirty-mean-35.csv,375.3164071,15.40113324,0.663818139,0.282807361,,,,,,,,,,
dirty-mean-40.csv,208.0527103,11.38365038,0,0,,,,,,,,,,
dirty-mean-45.csv,236.1913982,12.1341979,0.047061959,0.010694352,,,,,,,,,,
dirty-mean-50.csv,455.8350813,16.98127692,1.020766112,0.414422347,,,,,,,,,,
dirty-mean-55.csv,398.7241979,15.6063196,0.767587402,0.299897959,,,,,,,,,,
dirty-mean-60.csv,365.9224096,14.90765576,0.622173534,0.241704116,,,,,,,,,,
dirty-mean-65.csv,399.5478651,15.53615054,0.771238808,0.294053363,,,,,,,,,,
dirty-mean-70.csv,276.7129105,13.67641567,0.226698197,0.139150374,,,,,,,,,,
dirty-mean-75.csv,404.1815812,15.67402673,0.791780571,0.305537492,,,,,,,,,,
dirty-mean-80.csv,344.3307248,14.76511149,0.526455265,0.229831169,,,,,,,,,,
dirty-mean-85.csv,355.1965511,14.99299257,0.574624646,0.248812079,,,,,,,,,,
dirty-mean-90.csv,466.7377277,16.80694474,1.06909872,0.399901688,,,,,,,,,,
dirty-mean-95.csv,446.3152109,16.47454712,0.978563499,0.372215276,,,,,,,,,,
dirty-median-5.csv,147.9166905,9.424695355,0,0,,,,,,,,,,
dirty-median-10.csv,231.9542412,12.04423615,0.028278185,0.003201164,,,,,,,,,,
dirty-median-15.csv,297.3825025,13.85870343,0.318328729,0.154333677,,,,,,,,,,
dirty-median-20.csv,232.8961172,11.94102015,0.032453623,0,,,,,,,,,,
dirty-median-25.csv,222.2533657,11.58151786,0,0,,,,,,,,,,
dirty-median-30.csv,482.8667781,18.21859682,1.140600541,0.517482495,,,,,,,,,,
dirty-median-35.csv,444.6250244,17.09271892,0.97107072,0.423704691,,,,,,,,,,
dirty-median-40.csv,235.7715134,11.98077222,0.045200565,0,,,,,,,,,,
dirty-median-45.csv,268.0801511,12.70343137,0.188428243,0.058107544,,,,,,,,,,
dirty-median-50.csv,288.1664942,13.19431217,0.27747317,0.098994503,,,,,,,,,,
dirty-median-55.csv,374.7494198,14.99474897,0.661304623,0.248958375,,,,,,,,,,
dirty-median-60.csv,419.2100699,15.92278294,0.858403484,0.326257155,,,,,,,,,,
dirty-median-65.csv,388.4129757,15.26353855,0.721876641,0.271346679,,,,,,,,,,
dirty-median-70.csv,360.0953,14.87099337,0.596341329,0.238650394,,,,,,,,,,
