Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,513.6719467194672,0.7000060282185477,0.9968783867227804
0.72,485.489874898749,0.7200099434932125,0.9972108339503885
0.74,458.0071100711007,0.7400081490865368,0.9975171489115422
0.76,431.0837908379084,0.7600056580296434,0.9978000708376911
0.78,404.580055800558,0.7800058714535834,0.9980619668625504
0.8,378.35604356043564,0.8000066030119507,0.9983048458259822
0.82,352.2619026190262,0.8200026024116891,0.9985304512275127
0.84,326.0978309783098,0.8400092761693586,0.9987405444360463
0.86,299.6740167401674,0.8600061272608995,0.9989363243724998
0.88,272.70074700747006,0.8800032836217634,0.9991191599109378
0.9,244.78840788407885,0.9000092727762767,0.9992902455220224
0.92,215.39753397533977,0.9200096790512045,0.9994504628778327
0.94,183.5990459904599,0.9400096657569406,0.9996007640457636
0.96,147.61470614706147,0.9600070468084743,0.999741952932439
0.98,102.81909819098192,0.9800097458278687,0.9998748306008013
