Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,4684.493561093083,0.7000058391989532,0.618305983111799
0.72,4425.18826914835,0.7200064866418601,0.6283344343867493
0.74,4172.483111900243,0.7400091840718633,0.6380378173904226
0.76,3925.278066899324,0.7600027926482982,0.6474232616698824
0.78,3682.073103532725,0.7800069738416774,0.6565124596843139
0.8,3441.768199351007,0.8000036892626821,0.6653098170904707
0.82,3202.7633217004427,0.8200060384232546,0.6738340858718967
0.84,2963.5584399681625,0.8400018139208388,0.682093459593902
0.86,2721.953509255291,0.8600095125739118,0.6901095684819767
0.88,2475.7484846629523,0.8800029975929549,0.6978872420207148
0.9,2221.2432906794015,0.9000046203157073,0.7054525779832923
0.92,1953.43782526174,0.9200085804288719,0.7128242401949508
0.94,1664.1319210596134,0.9400048435508523,0.7200271269114954
0.96,1337.0252454131717,0.9600065604546567,0.7271123073926652
0.98,930.5169493254964,0.9800092718248451,0.7341822962697411
