file,Max_Correlation,Min_Correlation,Avg_Correlation
dirty-mean-5.csv,0.6949314412829924,-0.7060296591423894,-0.16365196694480905
dirty-mean-10.csv,0.6514711832360334,-0.6792687028758947,-0.16780688868264193
dirty-mean-15.csv,0.6339509795419291,-0.6528440262378511,-0.14688317767224973
dirty-mean-20.csv,0.5674801748934849,-0.6217982842641487,-0.15235911176816674
dirty-mean-25.csv,0.6323182108392916,-0.6273490291358715,-0.16377879618269076
dirty-mean-30.csv,0.5325993827995603,-0.6019096786092054,-0.14998083532079748
dirty-mean-35.csv,0.634464097975065,-0.5789452222250789,-0.15278981713863393
dirty-mean-40.csv,0.561886840927918,-0.5934699207129415,-0.14354842475598348
dirty-mean-45.csv,0.5262696399958181,-0.4999392639558033,-0.1132099295478871
dirty-mean-50.csv,0.5617889341741734,-0.5037201109334218,-0.10417949138783586
dirty-mean-55.csv,0.4233615057649851,-0.4482371171625901,-0.11202984322808898
dirty-mean-60.csv,0.5082727943286011,-0.5115198355661249,-0.12705904190384132
dirty-mean-65.csv,0.27239377745458393,-0.4308905216177438,-0.0978442385538753
dirty-mean-70.csv,0.33251451459113646,-0.46049884007224434,-0.1306228417074236
dirty-mean-75.csv,0.3462636647909743,-0.26244773517377756,-0.051017349385059266
dirty-mean-80.csv,0.3956635507560198,-0.35179774568038735,-0.06221186084675685
dirty-mean-85.csv,0.28697478604718585,-0.2539265094664526,-0.049124065507545764
dirty-mean-90.csv,0.3065235849896752,-0.21506098999559445,-0.04922197533380602
dirty-mean-95.csv,0.16015942967806737,-0.21352990765463412,-0.054587662620690966
dirty-median-5.csv,0.6934947984019253,-0.7092739083001182,-0.16597278544343252
dirty-median-10.csv,0.6509785389624204,-0.6739413759056364,-0.16638682604404312
dirty-median-15.csv,0.6340561452090355,-0.6540488404807902,-0.14697950836978255
dirty-median-20.csv,0.5643379849785586,-0.623097993752441,-0.15217674470620288
dirty-median-25.csv,0.6247055930158587,-0.6192110428534493,-0.1638197902752801
dirty-median-30.csv,0.5253113158843159,-0.5846429320792815,-0.14406186640884164
dirty-median-35.csv,0.6527767562335016,-0.5991950139699108,-0.1546901934821285
dirty-median-40.csv,0.5699860758741757,-0.5961673470170141,-0.14038767322706938
dirty-median-45.csv,0.5178602744652813,-0.4957959243199474,-0.11204104359370705
