CR_Target,CR_Actual,J_Actual
0.1,0.10459492140266022,0.2772251609690057
0.1,0.10096735187424426,0.2562755701948269
0.1,0.10399032648125756,0.30944533047790795
0.1,0.10157194679564692,0.30550374618516707
0.1,0.10278113663845223,0.29230012373612885
0.2,0.20314389359129384,0.3064608086717686
0.2,0.20193470374848851,0.313216894710248
0.2,0.2007255139056832,0.3039639856879135
0.2,0.20012091898428053,0.294719022140779
0.2,0.20193470374848851,0.2993426656469313
0.3,0.3022974607013301,0.379379681203089
0.3,0.3004836759371221,0.3751460531852882
0.3,0.3053204353083434,0.3736100145908284
0.3,0.30290205562273276,0.34965895726722857
0.3,0.3010882708585248,0.3242027605762288
0.4,0.40024183796856105,0.3937249353979737
0.4,0.40024183796856105,0.42047836665437976
0.4,0.40024183796856105,0.41971903740157956
0.4,0.3996372430471584,0.38510902364630123
0.4,0.4014510278113664,0.4100087672712718
0.5,0.501813784764208,0.6656064886499606
0.5,0.5012091898428053,0.4416119717675265
0.5,0.501813784764208,0.4701215843908119
0.5,0.5006045949214026,0.44654535608360674
0.5,0.5030229746070133,0.4289313561413006
0.6,0.6003627569528416,0.5662446382004677
0.6,0.599758162031439,0.5009749240392366
0.6,0.6021765417170496,0.48357672846237354
0.6,0.601571946795647,0.747766537735854
0.6,0.6009673518742442,0.5312964552624069
0.7,0.6995163240628779,0.8419951537363828
0.7,0.7001209189842805,0.6019356332966125
0.7,0.7007255139056832,0.6073223621397397
0.7,0.7001209189842805,0.8316473793247113
0.7,0.6995163240628779,0.6006329178266199
0.8,0.8004836759371221,0.9623113779199925
0.8,0.7998790810157195,0.6879908972139455
0.8,0.8004836759371221,0.7475659886286564
0.8,0.8010882708585247,0.9557531263083968
0.8,0.7998790810157195,0.7356627726540205
0.9,0.8996372430471584,1.0965925787340811
0.9,0.900241837968561,1.102322839452137
0.9,0.8996372430471584,1.0875956541002827
0.9,0.8996372430471584,1.1081292100020936
0.9,0.8996372430471584,1.0975633083479415
