file,RMSE,MSE,MAE
dirty-mean-5.csv,1.528509377466253,2.336340917002272,0.28795969126173426
dirty-mean-10.csv,2.175212315538704,4.731548617671252,0.5597142536803706
dirty-mean-15.csv,2.618664859015362,6.857405643841945,0.8247108375840905
dirty-mean-20.csv,3.204046557301693,10.265914341356831,1.1936803566599143
dirty-mean-25.csv,3.5373522072880688,12.51286063840577,1.4569358286972154
dirty-mean-30.csv,3.756281964111363,14.109654193908321,1.6783840833685586
dirty-mean-35.csv,4.041251183896878,16.331711131347916,1.9432056971011922
dirty-mean-40.csv,4.467055452728605,19.95458441775236,2.2831135216632523
dirty-mean-45.csv,4.614590625997698,21.294446645545822,2.5332987101170494
dirty-mean-50.csv,4.802951413814718,23.068342283464798,2.7943931507552255
dirty-mean-55.csv,5.18344868616469,26.86814028210245,3.1556420492348662
dirty-mean-60.csv,5.149225994718292,26.51452834468258,3.2539124696343715
dirty-mean-65.csv,5.477645536794648,30.004600626766326,3.5754288551297115
dirty-mean-70.csv,5.643535113791338,31.849488580595807,3.8490827096730373
dirty-mean-75.csv,5.941752629265365,35.304424307381886,4.219146934853697
dirty-mean-80.csv,6.191180829867497,38.33072006811878,4.4488524412968165
dirty-mean-85.csv,6.358372520655768,40.42890111143039,4.750228495810746
dirty-mean-90.csv,6.501736833817531,42.27258185621961,5.046126805990668
dirty-mean-95.csv,6.853673207139233,46.97283643025818,5.330208652869701
dirty-median-5.csv,1.547106826392022,2.3935395322687945,0.2892102461743179
dirty-median-10.csv,2.179938216268183,4.752130626746506,0.5519334664005321
dirty-median-15.csv,2.6486536843248665,7.015366339487689,0.8177188955422489
dirty-median-20.csv,3.23477361011801,10.463760308715903,1.1848489687292083
dirty-median-25.csv,3.513498031094415,12.34466841450433,1.4253898868928814
dirty-median-30.csv,3.7684809292743835,14.20144851430472,1.6631250831670021
dirty-median-35.csv,4.1038784768672425,16.8418185528942,1.9454697272122417
dirty-median-40.csv,4.511589080295447,20.35443602944111,2.272648369926813
dirty-median-45.csv,4.643724141984852,21.56417390685295,2.5097777777777788
dirty-median-50.csv,4.8068404238417815,23.105714860279434,2.754238855622089
dirty-median-55.csv,5.158643509904077,26.611602862275458,3.098367265469066
dirty-median-60.csv,5.198677940672831,27.02625233083831,3.2282159015302714
dirty-median-65.csv,5.598206262303083,31.339913355289447,3.589017298735859
dirty-median-70.csv,5.686367983956786,32.33478084896876,3.8142621423819008
dirty-median-75.csv,5.9749985103153,35.70060719827005,4.174523619427811
dirty-median-80.csv,6.449766983211448,41.5994941377245,4.530021956087828
dirty-median-85.csv,6.4356379885778745,41.417436320026674,4.749766467065862
dirty-median-90.csv,6.5117501452445055,42.40288995409183,5.014500998003987
dirty-median-95.csv,7.203090897873904,51.88451848303388,5.487868263473047
dirty-mode-5.csv,1.6410121175036296,2.692920769793746,0.2956134397870924
dirty-mode-10.csv,2.280208011311753,5.1993485748502986,0.5614983366600133
dirty-mode-15.csv,2.8093868096391277,7.892654246174317,0.8418150365934791
dirty-mode-20.csv,3.306329324512166,10.931813602129075,1.1871310711909515
dirty-mode-25.csv,4.027741836075215,16.222704298070543,1.554525615435796
dirty-mode-30.csv,3.836445588019421,14.718314749833683,1.6715389221556898
dirty-mode-35.csv,5.618270999393091,31.56496902262144,2.8277345309381237
dirty-mode-40.csv,5.324826602870006,28.35377835063213,2.6067631403858966
dirty-mode-45.csv,8.515419227110302,72.51236461343981,5.036867598137066
dirty-mode-50.csv,5.062898299750133,25.632939193612785,2.803592814371253
dirty-mode-55.csv,11.755702803116856,138.1965483952095,7.918516300731862
dirty-mode-60.csv,5.315638596376926,28.25601368729206,3.2554437791084543
dirty-mode-65.csv,12.398375903476722,153.71972504391223,9.062689953426469
dirty-mode-70.csv,5.721388850321235,32.73429037658014,3.9580066533599454
dirty-mode-75.csv,7.425737146774548,55.14157217298741,5.447028609447777
dirty-mode-80.csv,6.994236072190655,48.91933823353296,4.852294743845651
dirty-mode-85.csv,9.414443957378124,88.63175502661348,6.926196274118421
dirty-mode-90.csv,11.960237533021973,143.04728184630753,9.985598802395224
dirty-mode-95.csv,10.50413949261778,110.3369464803725,8.276858283433137
dirty-knn-5.csv,1.1971086318989044,1.4330690765668663,0.21519787092481701
dirty-knn-10.csv,1.8511127728201582,3.426618497697935,0.46682594810379213
dirty-knn-15.csv,2.1544295570091023,4.641566716114436,0.6656721224218232
dirty-knn-20.csv,2.739272372215227,7.503613129181636,0.9870521623419828
dirty-knn-25.csv,3.2185860085113416,10.35929589418497,1.25570379241517
dirty-knn-30.csv,3.2958520276730714,10.862640588316697,1.433410512308716
dirty-knn-35.csv,3.6291060490185854,13.170410715023285,1.676335994677311
dirty-knn-40.csv,4.007432714673414,16.059516962634728,2.0201651363938784
dirty-knn-45.csv,4.171358464561267,17.400231439866936,2.1984376580172995
dirty-knn-50.csv,4.232595888999347,17.914867959574174,2.4150215568862285
dirty-knn-55.csv,4.7606470044771765,22.663759901237512,2.768619960079841
dirty-knn-60.csv,4.635134452202368,21.48447138999335,2.853898735861611
dirty-knn-65.csv,5.124302645781395,26.258477605562206,3.3052243512974004
dirty-knn-70.csv,5.114186364330283,26.1549021691018,3.394526679973389
dirty-knn-75.csv,5.446632582446733,29.66580648817036,3.7429853626081186
dirty-knn-80.csv,5.594561550751737,31.299118945149687,3.9673681969394528
dirty-knn-85.csv,6.000705539180994,36.00846696795746,4.374341051230872
dirty-knn-90.csv,6.121593732054805,37.47390982033268,4.609436726546903
dirty-knn-95.csv,6.81755985895192,46.47912243039253,5.1940202262142305
dirty-hdi-5.csv,1.4748885127639877,2.1752961250831673,0.2528795741849633
dirty-hdi-10.csv,2.420260084147328,5.857658874916832,0.5828323353293411
dirty-hdi-15.csv,2.835366508852243,8.039303239520958,0.8594670658682638
